Crops,California,Illinois,Indiana,iowa,Kansas,Michigan,Minnesota,Missouri,Nebraska,NorthDakota,Ohio,SouthDakota,Wisconsin
Barley,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Beans,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Chickpeas,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no
Corn,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cotton,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no
Grapefruit,yes,no,no,no,no,no,no,no,no,no,no,no,no
Hay,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hops,yes,no,no,no,no,no,no,no,no,no,no,no,no
Lemons,yes,no,no,no,no,no,no,no,no,no,no,no,no
Oats,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Oranges,yes,no,no,no,no,no,no,no,no,no,no,no,no
Potatoes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Rice,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
Sorghum,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sugarbeets,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sweet Potatoes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Tangerines,yes,no,no,no,no,no,no,no,no,no,no,no,no
Wheat,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
,,,,,,,,,,,,,
total (yes),18,12,9,10,11,10,10,12,11,11,10,11,10
