"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","13",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","105,410",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","18,687",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - ACRES IN PRODUCTION","TOTAL","NOT SPECIFIED"," (Z)",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","4",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, RETAIL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","11",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - SQ FT IN PRODUCTION","TOTAL","NOT SPECIFIED","26,650",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, WHOLESALE - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","187,600",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","33,700",""
"CENSUS","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, RETAIL - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3",""
