"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","7",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","206,839",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - ACRES IN PRODUCTION","TOTAL","NOT SPECIFIED"," (Z)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","4",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, RETAIL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","6",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - SQ FT IN PRODUCTION","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, WHOLESALE - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","106",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","22,345,798",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","93",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","6,318,196",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN FLATS","TOTAL","NOT SPECIFIED","505,929",""
"CENSUS","2009","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","102",""
