"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","13",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","616,950",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","56,807",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, RETAIL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","206,950",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","13",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - SQ FT IN PRODUCTION","TOTAL","NOT SPECIFIED","75,081",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, WHOLESALE - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","410,000",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","11",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","228,506",""
