"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","13",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","47,815",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","17,986",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - ACRES IN PRODUCTION","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","1",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, RETAIL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","12",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, UNDER PROTECTION - SQ FT IN PRODUCTION","TOTAL","NOT SPECIFIED","3,600",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AQUATIC PLANTS","AQUATIC PLANTS, WHOLESALE - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, RETAIL - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, RETAIL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS, RETAIL - SALES, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","67",""
"CENSUS","2009","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","5,868,061",""
