"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","24",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,648,235",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","20",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,550,320",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN FLATS","TOTAL","NOT SPECIFIED","105,082",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","23",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,733,517",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2009","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, FLATS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4",""
