Commodity,Value Counts
WHEAT,2606
BEANS,2273
"BEDDING PLANTS, ANNUAL",1693
POTATOES,1484
HAY,1335
COTTON,1272
ORANGES,1256
BARLEY,975
"FLOWERING PLANTS, POTTED",900
RICE,891
FOLIAGE PLANTS,857
CORN,751
"BEDDING PLANTS, HERBACEOUS PERENNIAL",719
OATS,647
PEACHES,557
VEGETABLE TOTALS,511
PEARS,500
SUGARBEETS,437
PROPAGATIVE MATERIAL,421
HORTICULTURE TOTALS,406
CUT FLOWERS,401
MELONS,393
HAYLAGE,392
LEMONS,389
SORGHUM,383
LETTUCE,380
SWEET POTATOES,376
GRAPES,373
GRAPEFRUIT,373
ONIONS,359
TOMATOES,358
BROCCOLI,261
CARROTS,245
STRAWBERRIES,245
WALNUTS,244
TANGERINES,243
ALMONDS,238
SUNFLOWER,233
CHICKPEAS,221
CITRUS TOTALS,220
CAULIFLOWER,215
APPLES,214
PISTACHIOS,210
CHERRIES,203
ORCHARDS,203
PEPPERS,202
HAY & HAYLAGE,199
CUT CHRISTMAS TREES,193
SWEET CORN,181
AVOCADOS,172
CABBAGE,169
PLUMS & PRUNES,169
CUCUMBERS,169
ASPARAGUS,168
PRUNES,167
PLUMS,161
SPINACH,153
CROP TOTALS,146
DECIDUOUS SHADE TREES,140
LEGUMES,138
PECANS,130
SQUASH,127
SAFFLOWER,125
"EVERGREENS, BROADLEAF",125
DECIDUOUS FLOWERING TREES,125
CUT CULTIVATED GREENS,113
"EVERGREENS, CONIFEROUS",107
DECIDUOUS SHRUBS,107
HOPS,105
GARLIC,99
CELERY,99
ARTICHOKES,97
GRASSES & LEGUMES TOTALS,88
BERRY TOTALS,80
MUSHROOMS,72
PUMPKINS,72
FRUIT & NUT PLANTS,71
GREENS,68
FIGS,67
DATES,64
OLIVES,63
TRANSPLANTS,61
HERBS,60
RASPBERRIES,59
PEAS,58
SOD,55
FLOWER SEEDS,55
MINT,53
APRICOTS,53
NURSERY TOTALS,52
"FIELD CROPS, OTHER",52
"WOODY ORNAMENTALS & VINES, OTHER",51
BLUEBERRIES,50
FIELD CROP TOTALS,47
KIWIFRUIT,46
FLAXSEED,44
GRASSES,43
NECTARINES,43
BOYSENBERRIES,37
BRUSSELS SPROUTS,36
FLORICULTURE TOTALS,34
RYE,30
"TREE NUTS, OTHER",29
GRAIN,28
"VEGETABLES, OTHER",27
POPCORN,25
BLACKBERRIES,25
FRUIT & TREE NUT TOTALS,25
BULBS & CORMS & RHIZOMES & TUBERS,25
"BERRIES, OTHER",25
HAZELNUTS,24
PEANUTS,24
JOJOBA,23
VEGETABLE SEEDS,21
AQUATIC PLANTS,21
RADISHES,20
EGGPLANT,20
FOOD CROP TOTALS,19
ESCAROLE & ENDIVE,18
TREE NUT TOTALS,18
PALMS,17
BEDDING PLANT TOTALS,16
FRUIT TOTALS,16
CUT FLOWERS & CUT CULTIVATED GREENS,16
"GRASSES & LEGUMES, OTHER",15
WILD RICE,15
"FRUIT, OTHER",15
ORNAMENTAL GRASSES,15
CANOLA,15
MACADAMIAS,14
TANGELOS,14
MANGOES,14
PASSION FRUIT,14
KUMQUATS,14
PERSIMMONS,14
"CITRUS, OTHER",14
GUAVAS,14
"NON-CITRUS, OTHER",14
LIMES,14
POMEGRANATES,14
"NURSERY, OTHER",12
BEETS,12
NON-CITRUS TOTALS,12
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,11
TARO,10
TRITICALE,10
MUSTARD,10
SHORT TERM WOODY CROPS,10
PARSLEY,10
PEAS & LENTILS,10
BANANAS,10
CURRANTS,10
GINSENG,9
BAREROOT HERBACEOUS PERENNIALS,9
RHUBARB,8
"HORTICULTURE, OTHER",8
CHICORY,8
WATERCRESS,8
DAIKON,8
TURNIPS,8
OKRA,8
"FLORICULTURE, OTHER",7
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
"FOOD CROP, OTHER",7
CHESTNUTS,6
PLUM-APRICOT HYBRIDS,6
HORSERADISH,6
"VEGETABLES, MIXED",6
RAPESEED,5
MILLET,5
SWEET RICE,5
SESAME,5
LOGANBERRIES,4
PAPAYAS,4
SOYBEANS,3
MUSHROOM SPAWN,2
