Data Item,Value Counts
HORTICULTURE TOTALS - OPERATIONS WITH SALES,166
"HORTICULTURE TOTALS - SALES, MEASURED IN $",166
"CROP TOTALS - SALES, MEASURED IN $",118
POTATOES - ACRES HARVESTED,92
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",89
"HAY, ALFALFA - ACRES HARVESTED",89
WHEAT - ACRES HARVESTED,88
"WHEAT - PRODUCTION, MEASURED IN BU",88
"RICE - PRODUCTION, MEASURED IN CWT",86
RICE - ACRES HARVESTED,86
"CORN, GRAIN - ACRES HARVESTED",86
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",86
"BARLEY - PRODUCTION, MEASURED IN BU",80
BARLEY - ACRES HARVESTED,80
"SUGARBEETS - PRODUCTION, MEASURED IN TONS",79
COTTON - ACRES HARVESTED,79
SUGARBEETS - ACRES HARVESTED,79
HAY - ACRES HARVESTED,76
"COTTON, UPLAND - ACRES HARVESTED",76
"HAY - PRODUCTION, MEASURED IN TONS",76
"WHEAT, WINTER - ACRES HARVESTED",75
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",75
"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",74
"WHEAT, SPRING, DURUM - ACRES HARVESTED",74
"POTATOES - PRODUCTION, MEASURED IN CWT",74
"WHEAT, IRRIGATED - ACRES HARVESTED",73
SWEET POTATOES - ACRES HARVESTED,71
"COTTON, PIMA - ACRES HARVESTED",70
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",69
"CORN, SILAGE - ACRES HARVESTED",69
OATS - ACRES HARVESTED,68
"OATS - PRODUCTION, MEASURED IN BU",68
"BARLEY, IRRIGATED - ACRES HARVESTED",64
"ORANGES, MID & NAVEL - ACRES BEARING",63
ORANGES - ACRES BEARING,63
"ORANGES, VALENCIA - ACRES BEARING",63
"SWEET POTATOES - PRODUCTION, MEASURED IN CWT",61
"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",61
"WHEAT, SPRING, DURUM, IRRIGATED - ACRES HARVESTED",59
GRAPEFRUIT - ACRES BEARING,56
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",56
ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,56
LEMONS - ACRES BEARING,54
"OATS, IRRIGATED - ACRES HARVESTED",51
"POTATOES, SPRING - PRODUCTION, MEASURED IN $",50
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED",50
POTATOES - OPERATIONS WITH AREA HARVESTED,50
"OATS - YIELD, MEASURED IN BU / ACRE",50
"POTATOES - PRODUCTION, MEASURED IN $",50
"ORANGES, MID & NAVEL - PRODUCTION, MEASURED IN $, PHD EQUIV",50
"WHEAT, WINTER - ACRES PLANTED",50
"POTATOES, SUMMER - ACRES PLANTED",50
"POTATOES, SUMMER - PRODUCTION, MEASURED IN CWT",50
"BARLEY - PRODUCTION, MEASURED IN $",50
"WHEAT, SPRING, DURUM - ACRES PLANTED",50
"POTATOES, SPRING - PRODUCTION, MEASURED IN CWT",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
"POTATOES, WINTER - YIELD, MEASURED IN CWT / ACRE",50
"LEMONS, UTILIZED - PRODUCTION, MEASURED IN BOXES",50
"POTATOES, SPRING - ACRES HARVESTED",50
"RICE - YIELD, MEASURED IN LB / ACRE",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",50
"BEANS, DRY EDIBLE, LIMA, LARGE - PRODUCTION, MEASURED IN CWT",50
"POTATOES, FALL - ACRES HARVESTED",50
RICE - ACRES PLANTED,50
WHEAT - ACRES PLANTED,50
SUGARBEETS - ACRES PLANTED,50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN CWT",50
"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",50
"BEANS, DRY EDIBLE, LIMA, BABY - PRODUCTION, MEASURED IN CWT",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - YIELD, MEASURED IN LB / ACRE",50
CORN - ACRES PLANTED,50
"POTATOES, FALL - YIELD, MEASURED IN CWT / ACRE",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
SWEET POTATOES - ACRES PLANTED,50
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
OATS - ACRES PLANTED,50
"POTATOES, FALL - PRODUCTION, MEASURED IN $",50
"ORANGES - PRODUCTION, MEASURED IN $, PHD EQUIV",50
"HAY - PRODUCTION, MEASURED IN $",50
"ORANGES, VALENCIA, UTILIZED - PRODUCTION, MEASURED IN BOXES",50
"RICE - PRODUCTION, MEASURED IN $",50
"BEANS, DRY EDIBLE, OTHER - PRODUCTION, MEASURED IN CWT",50
