Value,Value Counts
 (D),2596
2,317
1,297
3,243
4,230
5,219
6,211
7,184
8,181
10,158
11,150
9,144
12,142
14,131
13,119
19,112
15,112
18,101
17,100
22,98
20,95
26,89
27,88
23,86
21,81
16,78
24,77
30,76
25,74
31,68
28,68
29,65
33,62
 (Z),62
36,58
"8,000",58
100,58
34,56
39,56
32,56
35,55
95,54
38,52
50,50
51,49
40,49
80,48
70,48
42,47
53,47
45,45
49,45
48,44
"9,000",43
55,42
44,42
"5,000",42
41,41
54,41
37,41
"10,000",41
90,40
47,40
43,39
"15,000",39
"2,000",39
46,39
61,39
"14,000",38
56,38
58,37
400,36
170,36
60,36
52,36
"7,000",36
63,35
78,35
"25,000",35
"6,000",34
57,34
79,34
75,34
111,33
85,33
86,33
62,33
64,33
"30,000",33
"60,000",33
"29,000",33
300,32
72,32
69,32
76,31
77,31
"3,000",31
200,31
"1,000",30
92,30
93,30
71,30
"26,000",30
500,30
83,30
81,29
59,29
180,29
"20,000",29
"11,000",28
"12,000",28
68,28
82,28
160,28
"1,500",28
"45,000",27
"19,000",27
84,27
65,27
67,27
"4,000",27
"50,000",27
"22,000",26
"24,000",26
66,26
"130,000",26
"39,000",26
"150,000",26
88,25
"23,000",25
"5,500",25
97,25
73,25
"17,000",25
87,25
105,25
74,24
"42,000",24
110,24
"48,000",24
125,24
"100,000",23
235,23
114,23
"5,800",23
 (NA),23
"7,300",23
"34,000",23
"8,500",23
165,23
"90,000",23
280,23
230,23
"13,000",23
"7,500",22
96,22
150,22
175,22
109,22
"21,000",22
"250,000",22
 (X),21
"70,000",21
"80,000",21
94,21
"27,000",21
178,20
185,20
"75,000",20
"16,000",20
"200,000",20
190,20
"28,000",20
"31,000",20
360,20
121,19
390,19
"400,000",19
600,19
"47,000",19
"85,000",19
130,19
"115,000",19
104,19
"5,700",19
700,19
"18,000",19
"8,300",18
240,18
128,18
"40,000",18
245,18
"260,000",18
99,18
"6,500",18
"2,500",18
103,17
212,17
"4,500",17
"58,000",17
375,17
148,17
108,17
315,17
325,17
370,17
205,17
"44,000",17
140,17
"7,100",17
250,17
"69,000",16
145,16
102,16
330,16
118,16
"49,000",16
320,16
"7,600",16
116,16
"8,700",16
"5,900",16
"37,000",16
210,16
"530,000",16
260,16
"1,050,000",16
122,16
"55,000",16
"95,000",16
198,16
900,16
126,16
355,16
206,15
"220,000",15
"18,500",15
"43,000",15
