Commodity,Value Counts
"BEDDING PLANTS, ANNUAL",1766
HAY,1110
WHEAT,891
CORN,835
"FLOWERING PLANTS, POTTED",822
"BEDDING PLANTS, HERBACEOUS PERENNIAL",698
FOLIAGE PLANTS,615
SORGHUM,592
POTATOES,550
SOYBEANS,509
VEGETABLE TOTALS,475
OATS,384
HORTICULTURE TOTALS,294
HAYLAGE,274
SWEET CORN,219
PROPAGATIVE MATERIAL,214
RYE,198
BEANS,187
CUT CHRISTMAS TREES,186
CUT FLOWERS,170
APPLES,164
HAY & HAYLAGE,157
PEACHES,153
BARLEY,144
DECIDUOUS SHADE TREES,143
CROP TOTALS,139
POPCORN,139
COTTON,137
DECIDUOUS FLOWERING TREES,125
"EVERGREENS, BROADLEAF",125
"EVERGREENS, CONIFEROUS",113
DECIDUOUS SHRUBS,107
CABBAGE,97
PUMPKINS,72
FRUIT & NUT PLANTS,69
CUCUMBERS,67
TOBACCO,59
SOD,57
TRANSPLANTS,54
SUNFLOWER,50
"FIELD CROPS, OTHER",49
"WOODY ORNAMENTALS & VINES, OTHER",49
CUT CULTIVATED GREENS,48
FIELD CROP TOTALS,47
MELONS,47
LETTUCE,45
CHERRIES,44
PEPPERS,42
GRASSES,39
SQUASH,39
TOMATOES,38
ORCHARDS,37
ONIONS,35
PEAS,35
NURSERY TOTALS,34
FLORICULTURE TOTALS,34
HERBS,33
SUGARBEETS,32
BERRY TOTALS,32
FLOWER SEEDS,32
GREENS,32
STRAWBERRIES,30
PEARS,29
GRAPES,29
GRAIN,28
"VEGETABLES, OTHER",27
PECANS,26
FRUIT & TREE NUT TOTALS,25
BLACKBERRIES,25
CARROTS,25
RICE,25
ASPARAGUS,24
WALNUTS,24
PLUMS & PRUNES,24
SPINACH,23
LEGUMES,23
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,23
BROCCOLI,23
MUSHROOMS,22
SWEET POTATOES,22
GARLIC,21
AQUATIC PLANTS,21
RASPBERRIES,20
BLUEBERRIES,20
BUCKWHEAT,19
VEGETABLE SEEDS,19
FOOD CROP TOTALS,19
CELERY,18
CAULIFLOWER,18
ORNAMENTAL GRASSES,17
CUT FLOWERS & CUT CULTIVATED GREENS,16
BEDDING PLANT TOTALS,16
MAPLE SYRUP,16
FRUIT TOTALS,16
NECTARINES,14
APRICOTS,14
BULBS & CORMS & RHIZOMES & TUBERS,14
TREE NUT TOTALS,14
PERSIMMONS,14
HAZELNUTS,12
"NURSERY, OTHER",12
NON-CITRUS TOTALS,12
PALMS,11
SHORT TERM WOODY CROPS,10
BEETS,10
GINSENG,10
"FRUIT, OTHER",10
BAREROOT HERBACEOUS PERENNIALS,9
"BERRIES, OTHER",8
PARSLEY,8
GRASSES & LEGUMES TOTALS,8
TURNIPS,8
RADISHES,8
EGGPLANT,8
"FRUIT & TREE NUTS, OTHER",8
"HORTICULTURE, OTHER",8
OKRA,8
RHUBARB,8
"FOOD CROP, OTHER",7
"FLORICULTURE, OTHER",7
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
"TREE NUTS, OTHER",6
"NON-CITRUS, OTHER",6
EMMER & SPELT,6
HORSERADISH,6
BRUSSELS SPROUTS,6
CANOLA,6
CHESTNUTS,6
MILLET,6
"VEGETABLES, MIXED",4
ALMONDS,4
"GRASSES & LEGUMES, OTHER",3
TRITICALE,3
CHICORY,2
