Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",111
"HORTICULTURE TOTALS - SALES, MEASURED IN $",110
HORTICULTURE TOTALS - OPERATIONS WITH SALES,110
"CORN, GRAIN - ACRES HARVESTED",89
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",89
"SOYBEANS - PRODUCTION, MEASURED IN BU",89
SOYBEANS - ACRES HARVESTED,89
WHEAT - ACRES HARVESTED,83
"WHEAT - PRODUCTION, MEASURED IN BU",83
"SORGHUM, GRAIN - ACRES HARVESTED",79
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",79
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",77
"HAY, ALFALFA - ACRES HARVESTED",77
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",74
"CORN, SILAGE - ACRES HARVESTED",74
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",72
"OATS - PRODUCTION, MEASURED IN BU",72
OATS - ACRES HARVESTED,72
"WHEAT, WINTER - ACRES HARVESTED",72
"HAY - PRODUCTION, MEASURED IN TONS",69
HAY - ACRES HARVESTED,69
POTATOES - ACRES HARVESTED,53
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",53
"SORGHUM, SILAGE - ACRES HARVESTED",53
"POTATOES - PRODUCTION, MEASURED IN CWT",52
WHEAT - ACRES PLANTED,50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"OATS - YIELD, MEASURED IN BU / ACRE",50
"OATS - PRODUCTION, MEASURED IN $",50
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
"SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"SOYBEANS - PRODUCTION, MEASURED IN $",50
"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
SORGHUM - ACRES PLANTED,50
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
CORN - ACRES PLANTED,50
"POTATOES, SUMMER - YIELD, MEASURED IN CWT / ACRE",50
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",50
OATS - ACRES PLANTED,50
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"HAY - PRODUCTION, MEASURED IN $",50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT - PRODUCTION, MEASURED IN $",50
"POTATOES - PRODUCTION, MEASURED IN $",50
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",50
"WHEAT, WINTER - ACRES PLANTED",50
"POTATOES, SUMMER - PRODUCTION, MEASURED IN $",50
POTATOES - ACRES PLANTED,50
"POTATOES, SUMMER - ACRES HARVESTED",50
"POTATOES - YIELD, MEASURED IN CWT / ACRE",50
SOYBEANS - ACRES PLANTED,50
"POTATOES, SUMMER - ACRES PLANTED",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
"POTATOES, SUMMER - PRODUCTION, MEASURED IN CWT",50
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",50
SOYBEANS - OPERATIONS WITH AREA HARVESTED,47
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",47
"RYE - PRODUCTION, MEASURED IN BU",43
RYE - ACRES HARVESTED,43
"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",42
WHEAT - OPERATIONS WITH AREA HARVESTED,41
"RYE - YIELD, MEASURED IN BU / ACRE",40
RYE - ACRES PLANTED,40
"SOYBEANS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",39
"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",39
