Value,Value Counts
 (D),2192
1,495
2,346
3,279
4,191
5,159
7,139
8,122
6,119
9,107
10,102
12,96
13,91
15,77
11,75
14,71
17,63
22,56
16,55
20,50
21,49
19,48
18,48
28,40
27,40
23,37
25,36
31,36
29,36
39,36
33,35
56,34
46,34
37,34
32,31
61,31
45,31
30,30
50,30
43,30
34,29
44,29
 (Z),28
"2,000",28
26,28
"2,400",28
35,27
24,27
54,27
36,27
47,26
38,26
40,25
82,25
49,25
59,24
41,24
98,23
200,23
42,22
"2,100",22
58,21
48,21
53,21
60,19
51,19
55,19
"6,000",18
"2,500",18
66,18
52,18
65,18
"2,200",18
73,17
64,17
74,17
57,17
400,17
67,17
68,16
63,16
"50,000",15
100,15
79,15
"7,000",15
77,14
75,14
"10,000",14
87,14
70,13
78,13
"1,000",13
"3,000",12
95,12
99,12
84,12
"1,650,000",12
86,12
"85,000",12
"2,300",12
110,12
80,12
"60,000",12
90,12
116,12
"14,000",11
85,11
"5,000",11
"40,000",11
190,11
108,11
97,11
62,10
72,10
"23,000",10
"150,000",10
88,10
500,10
"45,000",10
"2,600",10
"5,500",10
81,10
129,10
"80,000",10
83,10
230,10
93,10
"100,000",10
120,9
"1,150,000",9
"11,000",9
118,9
71,9
260,9
125,9
"400,000",9
"1,600",9
800,9
"115,000",9
69,9
127,9
155,9
"130,000",9
"75,000",9
11.5,9
106,9
105,9
"1,000,000",9
"24,000",9
"1,600,000",8
"8,000",8
"11,200,000",8
103,8
107,8
"25,000",8
300,8
89,8
12.5,8
"950,000",8
"20,000",8
152,8
"120,000",8
"900,000",8
"1,250,000",8
"12,000",8
94,8
"1,400,000",8
265,8
135,7
"70,000",7
"9,200,000",7
"850,000",7
"22,000",7
2.2,7
"460,000",7
114,7
180,7
154,7
"200,000",7
"4,500",7
"1,200,000",7
3.9,7
195,7
"1,950,000",7
"15,000",7
130,7
"9,000",7
"600,000",7
240,7
"6,500",7
"5,300",7
96,7
150,7
350,7
163,7
"3,400",7
"110,000",7
"55,000",7
"6,300",7
113,7
122,7
"10,600,000",6
"500,000",6
395,6
102,6
"17,000",6
620,6
270,6
245,6
3.5,6
"90,000",6
"2,900",6
290,6
182,6
"65,000",6
"1,100,000",6
"19,000",6
101,6
123,6
"1,730,000",6
525,6
104,6
"2,700",6
"1,850,000",6
"920,000",6
"470,000",6
146,6
"300,000",6
"750,000",6
600,6
132,6
"1,500",6
92,6
136,6
"260,000",6
"1,300,000",6
"440,000",5
"340,000",5
147,5
"820,000",5
117,5
153,5
