Value,Value Counts
 (D),2197
1,442
2,331
3,228
4,221
6,152
7,138
8,137
5,137
9,103
12,92
11,92
13,86
14,76
10,76
15,68
19,64
17,63
 (Z),56
16,52
23,51
21,50
20,46
18,41
40,40
24,40
34,39
30,39
26,37
38,37
22,35
25,34
32,33
27,33
35,31
37,30
36,30
29,30
28,29
31,28
100,28
51,28
45,27
33,27
44,26
43,26
46,25
"8,000",25
42,25
53,24
39,24
48,23
52,23
"7,000",22
58,21
49,20
68,20
47,20
41,20
"1,600",19
50,19
"6,000",19
69,18
63,18
62,18
"1,700",18
60,17
54,17
55,16
"5,000",16
"25,000",16
57,16
"6,100",15
56,15
66,15
"1,800",15
59,15
"700,000",15
"40,000",15
"2,100",15
"5,400",15
"10,000",15
260,14
73,14
"20,000",14
"2,000",14
71,14
70,14
"400,000",13
61,13
"300,000",13
"15,000",13
220,13
180,12
67,12
76,12
"4,500",12
"11,000",12
"4,000",12
"4,200",12
"9,000",12
250,11
"100,000",11
75,11
"110,000",11
"8,100",11
"6,500",11
65,11
"6,200",11
90,11
"1,900",10
"4,900",10
94,10
155,10
"50,000",10
"7,500",10
"16,000",10
64,10
"18,000",10
"1,500",10
"6,700",10
"5,200",10
"1,050,000",9
200,9
72,9
"720,000",9
"5,900",9
91,9
280,9
"5,800",9
"2,150",9
"1,400",9
"3,000",9
78,9
150,8
"12,000",8
74,8
"5,500",8
"2,200",8
77,8
"6,900",8
"7,400",8
102,8
"7,300",8
"630,000",8
"7,600",8
"5,700",8
101,8
2.2,8
122,8
140,8
"1,300",8
86,8
88,8
85,8
"5,550,000",8
"120,000",8
146,7
92,7
103,7
1.9,7
"380,000",7
"6,800",7
"2,900",7
108,7
"340,000",7
"3,200",7
160,7
"4,600",7
123,7
105,7
80,7
137,7
175,7
"2,800",7
"650,000",7
"5,600,000",7
"6,600",7
"90,000",7
87,7
"600,000",7
"660,000",7
"7,200",7
134,7
"30,000",6
270,6
"4,300",6
"280,000",6
2.6,6
2.5,6
166,6
"19,000",6
"8,400",6
"55,000",6
79,6
89,6
"180,000",6
"500,000",6
98,6
"1,170,000",6
11.5,6
"26,000",6
"2,300",6
"900,000",6
"350,000",6
"5,700,000",6
"460,000",6
185,6
"1,950",6
3.8,6
268,6
"8,300",6
"5,400,000",6
128,6
225,6
"7,100",6
"750,000",6
"140,000",6
95,6
104,6
"13,000",6
"5,300",6
"7,900",6
265,6
573,6
193,6
"550,000",6
"35,000",6
"410,000",6
240,6
154,6
"2,400",6
204,6
"2,050",6
117,6
135,6
"4,400",5
156,5
158,5
"1,200",5
190,5
258,5
93,5
"5,450,000",5
"970,000",5
"2,500",5
81,5
174,5
"8,500",5
"4,100",5
"320,000",5
"450,000",5
"7,700",5
116,5
"6,400",5
320,5
"150,000",5
"80,000",5
110,5
143,5
"925,000",5
"360,000",5
"14,000",5
"1,000",5
130,5
133,5
96,5
230,5
"60,000",5
"6,300",5
159,5
"70,000",5
168,5
4.1,5
"216,000",5
"2,350",5
"4,400,000",5
"1,600,000",5
"5,600",5
2.7,5
"440,000",4
"156,000",4
"6,160",4
"4,500,000",4
"532,000",4
600,4
"5,100",4
"45,000",4
"1,350,000",4
2.25,4
163,4
"725,000",4
"130,000",4
291,4
"420,000",4
187,4
15.5,4
"370,000",4
233,4
298,4
126,4
111,4
"1,120,000",4
"4,800",4
205,4
169,4
"240,000",4
115,4
147,4
2.1,4
"1,250,000",4
"53,000",4
1.45,4
"850,000",4
"17,000",4
"495,000",4
99,4
420,4
"1,400,000",4
"34,800,000",4
97,4
177,4
41.3,4
2.3,4
"75,000",4
"2,000,000",4
173,4
"3,800",4
"1,196,000",4
131,4
113,4
"1,500,000",4
188,4
"330,000",4
