Value,Value Counts
 (D),2768
1,538
2,344
3,262
4,211
6,187
5,136
8,135
7,134
9,86
11,86
10,84
12,81
13,68
14,63
16,62
17,61
15,58
 (Z),56
18,48
22,46
26,41
23,41
28,40
24,40
21,39
19,39
30,38
35,34
20,33
25,32
33,31
27,28
36,28
31,26
"1,700",25
"5,000",25
70,24
"1,500",22
45,21
48,21
"40,000",21
32,20
53,20
38,19
34,19
"20,000",19
"4,000",19
55,19
39,18
29,18
60,18
42,18
"1,600",17
"25,000",17
51,17
47,17
41,16
37,16
40,16
44,16
50,16
80,15
"100,000",14
"30,000",14
"6,000",14
65,14
56,14
"130,000",13
"2,800",13
"60,000",13
"18,000",12
57,12
79,12
43,12
200,11
"2,700",11
46,11
"10,000",11
145,11
49,11
59,11
"1,800",11
"75,000",10
"2,000",10
2.2,10
52,10
"1,400",10
61,10
13.5,10
62,10
"3,700",9
58,9
"1,700,000",9
"24,000",9
93,9
84,9
205,9
"22,000",9
"11,000",9
68,9
86,9
"3,100",9
"1,250,000",9
160,9
"300,000",9
"250,000",8
"1,000",8
180,8
75,8
115,8
3.7,8
175,8
"19,000",8
91,8
"1,300,000",8
66,8
"180,000",8
77,8
150,8
"16,000",8
"2,900",7
"1,650,000",7
"1,600,000",7
"270,000",7
"220,000",7
64,7
"28,000",7
"45,000",7
54,7
"1,100",7
87,7
3.9,7
78,7
"1,550,000",7
"55,000",7
14.5,7
3.6,7
72,7
90,7
89,6
"150,000",6
"500,000",6
"50,000",6
110,6
"600,000",6
"3,000",6
102,6
67,6
2.3,6
"950,000",6
"36,000",6
"3,200",6
71,6
"1,200,000",6
"125,000",6
114,6
12.5,6
185,6
76,6
"35,000",6
"13,000",6
"1,800,000",6
"92,000",6
"110,000",6
74,6
88,6
"230,000",6
"70,000",6
"21,000",6
"15,183",5
"1,796",5
"32,000",5
"4,875,000",5
73,5
113,5
242,5
"1,400,000",5
313,5
112,5
92,5
"9,000",5
"1,750,000",5
100,5
153,5
"3,500",5
2.6,5
"400,000",5
"26,000",5
118,5
43.5,5
"7,000",5
103,5
"80,000",5
225,5
"90,000",5
18.5,5
1.6,5
165,5
"131,000",5
82,5
170,5
144,5
"15,000",5
117,5
700,4
11.5,4
"10,400,000",4
"210,000",4
"520,000",4
"3,400",4
27.5,4
605,4
"2,500",4
"54,000",4
"493,000",4
69,4
15.5,4
"185,000",4
"126,000",4
"1,225,000",4
173,4
255,4
"44,000",4
"750,000",4
"23,000",4
3.05,4
"2,400,000",4
166,4
"4,439",4
104,4
142,4
"31,000",4
230,4
"13,300,000",4
"308,000",4
"12,000",4
183,4
"990,000",4
"112,000",4
720,4
"1,000,000",4
106,4
"119,000",4
"12,200,000",4
108,4
"1,280,000",4
181,4
"330,000",4
270,4
122,4
136,4
"21,600",4
"2,360,000",4
32.5,4
219,4
"200,000",4
3.75,4
125,4
"1,300",4
"2,537",4
138,4
126,4
83,4
37.5,4
"1,900,000",4
85,4
220,4
2.55,4
"145,000",4
"42,553",4
"1,350,000",4
2.35,4
"3,300",4
121,4
105,4
107,4
"360,000",4
"5,610",4
"120,000",4
"140,000",4
149,4
63,4
"34,000",4
2.5,4
410,3
"8,100,000",3
"5,200",3
"63,000",3
164,3
133,3
"43,000",3
"170,000",3
"3,237",3
134,3
"2,815",3
236,3
"650,000",3
"2,160",3
"285,000",3
248,3
38.5,3
"660,000",3
210,3
101,3
"625,000",3
135,3
"2,225",3
824,3
"2,400",3
"540,000",3
385,3
"263,000",3
"4,100,000",3
204,3
217,3
"594,000",3
141,3
"1,860,000",3
"4,680,000",3
2.15,3
3.8,3
223,3
"1,050,000",3
"93,000",3
"2,143,000",3
157,3
127,3
128,3
99,3
168,3
"38,000",3
"3,600,000",3
"350,000",3
"550,000",3
215,3
"106,000",3
"8,200,000",3
"8,000,000",3
"2,796",3
318,3
"12,600,000",3
"12,300,000",3
1.65,3
123,3
"480,000",3
2.4,3
98,3
"640,000",3
900,3
"58,000",3
"23,500",3
"735,000",3
"11,900,000",3
"231,000",3
"1,134",3
"12,700,000",3
"1,320,000",3
152,3
"828,000",3
"215,000",3
"95,000",3
"3,318,000",3
"47,000",3
120,3
116,3
279,3
"96,000",3
"848,000",3
"800,000",3
194,3
319,3
414,3
"840,000",3
"760,000",3
611,3
"52,000",3
"630,000",3
"4,860,000",3
"33,000",3
"4,026,000",3
"143,000",3
606,3
752,3
"1,408,000",3
2.77,3
567,3
"8,300,000",3
"12,500,000",3
"176,000",3
565,3
"1,091",3
241,3
"10,818",3
"320,000",3
267,3
