Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",112
"CORN, GRAIN - ACRES HARVESTED",89
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",89
"HAY, ALFALFA - ACRES HARVESTED",89
"WHEAT - PRODUCTION, MEASURED IN BU",89
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",89
WHEAT - ACRES HARVESTED,89
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",88
"SORGHUM, GRAIN - ACRES HARVESTED",88
SOYBEANS - ACRES HARVESTED,87
"SOYBEANS - PRODUCTION, MEASURED IN BU",87
"WHEAT, IRRIGATED - ACRES HARVESTED",78
"HORTICULTURE TOTALS - SALES, MEASURED IN $",77
OATS - ACRES HARVESTED,77
HORTICULTURE TOTALS - OPERATIONS WITH SALES,77
"OATS - PRODUCTION, MEASURED IN BU",77
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",77
"CORN, SILAGE - ACRES HARVESTED",77
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",76
"WHEAT, WINTER - ACRES HARVESTED",76
"HAY - PRODUCTION, MEASURED IN TONS",76
HAY - ACRES HARVESTED,76
"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",76
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",68
"SORGHUM, SILAGE - ACRES HARVESTED",68
"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",66
"SOYBEANS, IRRIGATED - ACRES HARVESTED",61
BARLEY - ACRES HARVESTED,53
"BARLEY - PRODUCTION, MEASURED IN BU",53
COTTON - ACRES HARVESTED,51
"BEANS, DRY EDIBLE, INCL CHICKPEAS - YIELD, MEASURED IN LB / ACRE",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"BEANS, DRY EDIBLE, PINTO - PRODUCTION, MEASURED IN CWT",50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
OATS - ACRES PLANTED,50
"WHEAT - PRODUCTION, MEASURED IN $",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $",50
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
CORN - ACRES PLANTED,50
"HAY - PRODUCTION, MEASURED IN $",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED",50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
SORGHUM - ACRES PLANTED,50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
"BARLEY - YIELD, MEASURED IN BU / ACRE",50
"SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
BARLEY - ACRES PLANTED,50
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"WHEAT, WINTER - ACRES PLANTED",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED",50
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
"BARLEY - PRODUCTION, MEASURED IN $",50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",50
"SOYBEANS - PRODUCTION, MEASURED IN $",50
"OATS - PRODUCTION, MEASURED IN $",50
"COTTON, UPLAND - ACRES HARVESTED",50
SOYBEANS - ACRES PLANTED,50
"OATS - YIELD, MEASURED IN BU / ACRE",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN CWT",50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",50
WHEAT - ACRES PLANTED,50
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",47
WHEAT - OPERATIONS WITH AREA HARVESTED,47
"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",46
SOYBEANS - OPERATIONS WITH AREA HARVESTED,45
"SUNFLOWER - PRODUCTION, MEASURED IN LB",43
SUNFLOWER - ACRES HARVESTED,43
RYE - ACRES HARVESTED,43
"RYE - PRODUCTION, MEASURED IN BU",43
"WHEAT, WINTER, IRRIGATED - YIELD, MEASURED IN BU / ACRE",40
"SORGHUM, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",40
"WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU",40
"SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",40
RYE - ACRES PLANTED,40
"WHEAT, WINTER, IRRIGATED - ACRES PLANTED",40
"RYE - YIELD, MEASURED IN BU / ACRE",40
"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",40
"SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",40
