Domain Category,Value Counts
NOT SPECIFIED,13215
AREA HARVESTED: (100 TO 249 ACRES),284
AREA HARVESTED: (50.0 TO 99.9 ACRES),278
AREA HARVESTED: (25.0 TO 49.9 ACRES),271
AREA HARVESTED: (1.0 TO 14.9 ACRES),267
AREA HARVESTED: (15.0 TO 24.9 ACRES),265
AREA HARVESTED: (250 TO 499 ACRES),262
AREA HARVESTED: (500 TO 999 ACRES),260
"AREA HARVESTED: (1,000 OR MORE ACRES)",245
ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),239
ORGANIC STATUS: (NOP USDA CERTIFIED),202
ORGANIC STATUS: (NOP USDA EXEMPT),169
"AREA HARVESTED: (1,000 TO 1,999 ACRES)",156
"AREA HARVESTED: (2,000 TO 2,999 ACRES)",144
"AREA HARVESTED: (3,000 TO 4,999 ACRES)",123
"AREA HARVESTED: (5,000 OR MORE ACRES)",92
CONCENTRATION: (TOP 75 PCT OF OPERATIONS ON FARM SALES BASIS),26
AREA HARVESTED: (1.0 TO 24.9 ACRES),22
AREA HARVESTED: (25.0 TO 99.9 ACRES),22
CONCENTRATION: (TOP 50 PCT OF OPERATIONS ON FARM SALES BASIS),20
AREA HARVESTED: (500 OR MORE ACRES),15
AREA BEARING & NON-BEARING: (100 OR MORE ACRES),13
AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),12
AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),12
AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),12
AREA BEARING & NON-BEARING: (5.0 TO 14.9 ACRES),12
"AREA HARVESTED: (2,000 OR MORE ACRES)",12
AREA BEARING & NON-BEARING: (50.0 TO 99.9 ACRES),12
AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES),12
AREA IN PRODUCTION: (3.0 TO 4.9 ACRES),10
AREA IN PRODUCTION: (5.0 TO 9.9 ACRES),10
AREA IN PRODUCTION: (50.0 TO 99.9 ACRES),10
AREA IN PRODUCTION: (20.0 TO 49.9 ACRES),10
AREA IN PRODUCTION: (100 OR MORE ACRES),9
CONCENTRATION: (TOP 25 PCT OF OPERATIONS ON FARM SALES BASIS),8
AREA IN PRODUCTION: (1.0 TO 2.9 ACRES),8
AREA IN PRODUCTION: (10.0 TO 19.9 ACRES),8
AREA HARVESTED: (50 TO 249 ACRES),7
AREA HARVESTED: (1.0 TO 49.9 ACRES),7
AREA HARVESTED: (250 OR MORE ACRES),7
"SALES: (50,000 OR MORE $)",7
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),6
IRRIGATION STATUS: (NONE ON OPERATION),6
IRRIGATION STATUS: (ANY ON OPERATION),6
AREA HARVESTED: (750 OR MORE ACRES),4
AREA HARVESTED: (0.1 TO 14.9 ACRES),4
AREA HARVESTED: (400 TO 749 ACRES),4
AREA HARVESTED: (15.0 TO 49.9 ACRES),4
CONCENTRATION: (TOP 10 PCT OF OPERATIONS ON FARM SALES BASIS),4
AREA HARVESTED: (250 TO 399 ACRES),4
"AREA HARVESTED, FRESH MARKET & PROCESSING: (250 TO 499 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 4.9 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 TO 249 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (5.0 TO 24.9 ACRES)",3
"SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
NAICS CLASSIFICATION: (1111),2
"SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
"TYPE OF OPERATION: (FLOWERING PLANTS, POTTED, INDOOR USE) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
NAICS CLASSIFICATION: (11291),2
NAICS CLASSIFICATION: (11192),2
NAICS CLASSIFICATION: (112),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
NAICS CLASSIFICATION: (1114),2
TYPE OF OPERATION: (VEGETABLE TRANSPLANTS),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
"TYPE OF OPERATION: (CUT FLOWERS, INCL LEI)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
NAICS CLASSIFICATION: (111422),2
"SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL)",2
"TYPE OF OPERATION: (VEGETABLE TRANSPLANTS) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"ORGANIC STATUS: (NOP STANDARDS) AND SALES: (50,000 OR MORE $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
AREA BEARING & NON-BEARING: (25.0 TO 99.9 ACRES),2
NAICS CLASSIFICATION: (1113),2
NAICS CLASSIFICATION: (11199),2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
"TYPE OF OPERATION: (FOLIAGE PLANTS, INDOOR USE)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
NAICS CLASSIFICATION: (1122),2
NAICS CLASSIFICATION: (111339),2
TYPE OF OPERATION: (AQUATIC PLANTS),2
NAICS CLASSIFICATION: (11242),2
AREA BEARING & NON-BEARING: (250 TO 499 ACRES),2
NAICS CLASSIFICATION: (11292),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
"SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
NAICS CLASSIFICATION: (112111),2
TYPE OF OPERATION: (CUT CULTIVATED GREENS),2
NAICS CLASSIFICATION: (11111),2
NAICS CLASSIFICATION: (11299),2
"TYPE OF OPERATION: (FLOWERING PLANTS, POTTED, INDOOR USE) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
"AREA HARVESTED, FRESH MARKET & PROCESSING: (25.0 TO 99.9 ACRES)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
AREA BEARING & NON-BEARING: (500 OR MORE ACRES),2
"SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
"TYPE OF OPERATION: (CUT FLOWERS, INCL LEI) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (111332),2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS)",2
NAICS CLASSIFICATION: (1112),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
"TYPE OF OPERATION: (FOLIAGE PLANTS, INDOOR USE) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11231),2
NAICS CLASSIFICATION: (11112),2
NAICS CLASSIFICATION: (11233),2
NAICS CLASSIFICATION: (11212),2
NAICS CLASSIFICATION: (11113),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
AREA BEARING & NON-BEARING: (0.1 TO 4.9 ACRES),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
NAICS CLASSIFICATION: (1123),2
NAICS CLASSIFICATION: (11241),2
"ORGANIC STATUS: (NOP STANDARDS) AND SALES: (LESS THAN 50,000 $)",2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
NAICS CLASSIFICATION: (1129),2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (111219),2
"TYPE OF OPERATION: (FLOWERING PLANTS, POTTED, INDOOR USE)",2
NAICS CLASSIFICATION: (11194),2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
NAICS CLASSIFICATION: (11141),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
ORGANIC STATUS: (NOP STANDARDS),2
"TYPE OF OPERATION: (FLOWERING PLANTS, POTTED, INDOOR USE) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
NAICS CLASSIFICATION: (11119),2
TYPE OF OPERATION: (CUT CHRISTMAS TREES),2
AREA BEARING & NON-BEARING: (5.0 TO 24.9 ACRES),2
NAICS CLASSIFICATION: (1119),2
NAICS CLASSIFICATION: (111334),2
NAICS CLASSIFICATION: (112112),2
NAICS CLASSIFICATION: (11133),2
TYPE OF OPERATION: (SOD),2
NAICS CLASSIFICATION: (1121),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
TYPE OF OPERATION: (OTHER HORTICULTURE),2
NAICS CLASSIFICATION: (11239),2
NAICS CLASSIFICATION: (111333),2
NAICS CLASSIFICATION: (111331),2
NAICS CLASSIFICATION: (11211),2
NAICS CLASSIFICATION: (111421),2
NAICS CLASSIFICATION: (1124),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (AQUATIC PLANTS) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (FOLIAGE PLANTS, INDOOR USE) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
