Value,Value Counts
 (D),2420
1,451
2,425
3,272
4,197
5,165
6,138
7,134
8,131
9,108
14,77
12,74
11,70
10,69
15,67
26,60
16,60
13,57
18,54
25,51
17,50
21,50
19,49
29,48
33,48
34,47
27,47
39,44
30,43
37,43
28,42
24,42
23,41
20,41
31,37
40,34
35,33
32,33
46,33
"1,000",33
22,32
45,31
 (Z),28
"1,200",28
36,27
48,27
"10,000",26
50,26
"1,400",26
38,25
43,24
53,23
54,23
51,23
"80,000",22
"130,000",22
42,21
"1,300",21
"1,500",20
"170,000",20
52,20
56,20
"1,600",18
41,18
90,18
47,18
"5,000",18
100,17
44,17
77,17
61,17
95,17
120,17
49,17
"13,000",16
"2,000",16
99,16
80,16
400,16
1.5,15
"60,000",15
"1,700",15
"120,000",15
"8,000",15
59,15
62,14
200,14
"70,000",14
"12,000",14
83,14
"20,000",14
"280,000",13
900,13
"25,000",13
"100,000",13
55,13
"6,000",13
76,13
"15,000",13
"200,000",13
"210,000",12
"155,000",12
"50,000",12
93,12
"11,000",12
"3,000",12
75,12
"110,000",12
85,12
74,12
"150,000",12
94,12
67,12
64,12
"18,000",12
"10,000,000",11
"30,000",11
"40,000",11
"19,000",11
29.6,11
800,11
"35,000",11
"9,000",11
"1,100",11
"1,900,000",11
"26,000",11
"140,000",11
70,11
150,11
"28,000",11
"1,000,000",10
"2,900,000",10
58,10
"24,000",10
63,10
"220,000",10
"2,500,000",10
"180,000",10
1.6,10
96,10
104,10
"12,100,000",10
"90,000",10
"55,000",10
500,10
"300,000",10
"215,000",9
"3,600,000",9
125,9
"85,000",9
"21,000",9
"14,000",9
"105,000",9
"2,500",9
32.5,9
"16,000",9
"17,000",9
300,9
107,9
"3,000,000",9
60,9
340,9
101,9
98,9
116,9
72,9
"2,300",8
26.5,8
"34,000",8
15.5,8
86,8
"2,800",8
"160,000",8
1.8,8
82,8
"1,800",8
73,8
79,8
69,8
1.2,8
320,8
"850,000",8
"800,000",8
102,8
700,8
"1,600,000",8
34.5,8
106,8
29.3,8
"240,000",8
"12,000,000",8
"95,000",8
288,7
12.5,7
57,7
"12,400,000",7
"900,000",7
"2,800,000",7
138,7
"10,800,000",7
28.5,7
97,7
33.5,7
1.9,7
"1,300,000",7
81,7
"2,000,000",7
"11,000,000",7
"3,750,000",7
"1,850,000",7
"2,850,000",7
68,7
"11,400,000",7
"2,100",7
190,7
600,7
"75,000",7
"23,000",7
0,7
"2,550,000",7
"2,400",6
147,6
"1,550,000",6
26.1,6
"330,000",6
"2,400,000",6
"9,800,000",6
"2,600,000",6
"45,000",6
"38,000",6
261,6
"10,700,000",6
1.4,6
"580,000",6
130,6
87,6
1.65,6
"43,000",6
38.5,6
"3,765,000",6
"2,750,000",6
"279,000",6
240,6
"9,700,000",6
32.9,6
23.5,6
"1,800,000",6
"1,550",6
36.8,6
"3,300,000",6
"108,000",6
92,6
84,6
"2,100,000",6
"225,000",6
65,6
78,6
"1,700,000",6
"124,000",6
"65,000",6
"11,800,000",6
115,5
183,5
"384,000",5
137,5
"2,300,000",5
"126,000",5
"276,000",5
"520,000",5
2.6,5
"145,000",5
"4,100,000",5
164,5
"560,000",5
"1,350,000",5
110,5
"2,600",5
"3,570,000",5
"5,500",5
"250,000",5
"2,050,000",5
165,5
"2,900",5
124,5
"33,000",5
"3,500,000",5
"950,000",5
"1,850",5
"290,000",5
135,5
"1,820,000",5
"540,000",5
136,5
"3,400,000",5
"203,000",5
14.5,5
"2,700",5
"1,750",5
13.5,5
"2,150,000",5
1.7,5
"2,700,000",5
424,5
"3,200,000",5
"4,000",5
3.8,5
127,5
