Commodity,Value Counts
"BEDDING PLANTS, ANNUAL",1874
BEANS,1662
HAY,1123
WHEAT,907
POTATOES,893
"FLOWERING PLANTS, POTTED",846
CORN,823
"BEDDING PLANTS, HERBACEOUS PERENNIAL",758
VEGETABLE TOTALS,485
SOYBEANS,483
FOLIAGE PLANTS,445
SUGARBEETS,437
OATS,408
HAYLAGE,373
CHERRIES,365
PROPAGATIVE MATERIAL,334
HORTICULTURE TOTALS,326
BARLEY,319
CUT FLOWERS,266
CUCUMBERS,259
TOMATOES,242
CARROTS,237
ASPARAGUS,220
APPLES,219
STRAWBERRIES,214
CUT CHRISTMAS TREES,211
GRAPES,205
HAY & HAYLAGE,204
RYE,203
MINT,196
SWEET CORN,176
ORCHARDS,175
ONIONS,173
PEACHES,145
DECIDUOUS SHADE TREES,143
CROP TOTALS,140
PEPPERS,139
MAPLE SYRUP,138
SQUASH,127
DECIDUOUS FLOWERING TREES,122
"EVERGREENS, CONIFEROUS",116
"EVERGREENS, BROADLEAF",114
DECIDUOUS SHRUBS,107
CABBAGE,107
BLUEBERRIES,102
CELERY,99
MELONS,93
BERRY TOTALS,88
SHORT TERM WOODY CROPS,78
SORGHUM,75
PUMPKINS,72
FRUIT & NUT PLANTS,62
TRANSPLANTS,60
PLUMS & PRUNES,59
PEARS,58
SOD,57
"WOODY ORNAMENTALS & VINES, OTHER",53
"FIELD CROPS, OTHER",52
HERBS,50
LETTUCE,48
FIELD CROP TOTALS,47
SUNFLOWER,47
LEGUMES,46
CUT CULTIVATED GREENS,45
NURSERY TOTALS,42
CAULIFLOWER,39
PEAS,37
FLORICULTURE TOTALS,34
FLOWER SEEDS,34
GREENS,32
GRAIN,28
SPINACH,27
BROCCOLI,27
"VEGETABLES, OTHER",27
BLACKBERRIES,25
"BERRIES, OTHER",25
RASPBERRIES,25
BULBS & CORMS & RHIZOMES & TUBERS,25
POPCORN,25
WALNUTS,24
HAZELNUTS,24
FRUIT & TREE NUT TOTALS,23
BUCKWHEAT,23
GARLIC,23
RADISHES,22
PECANS,22
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,21
"TREE NUTS, OTHER",21
AQUATIC PLANTS,21
SWEET POTATOES,19
FOOD CROP TOTALS,19
CANOLA,19
MILLET,18
VEGETABLE SEEDS,18
TREE NUT TOTALS,18
ORNAMENTAL GRASSES,17
FRUIT TOTALS,16
MUSHROOMS,16
CUT FLOWERS & CUT CULTIVATED GREENS,16
BEDDING PLANT TOTALS,16
GINSENG,16
"FRUIT, OTHER",15
APRICOTS,14
NECTARINES,14
GRASSES,14
EMMER & SPELT,13
BEETS,12
EGGPLANT,12
NON-CITRUS TOTALS,12
"NURSERY, OTHER",12
TURNIPS,12
RHUBARB,12
PEAS & LENTILS,10
CURRANTS,10
CRANBERRIES,10
PARSLEY,10
GRASSES & LEGUMES TOTALS,10
BAREROOT HERBACEOUS PERENNIALS,9
BRUSSELS SPROUTS,8
"FRUIT & TREE NUTS, OTHER",8
"HORTICULTURE, OTHER",8
"FLORICULTURE, OTHER",7
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
OKRA,6
PERSIMMONS,6
TRITICALE,6
CHESTNUTS,6
ALMONDS,6
"FOOD CROP, OTHER",6
"NON-CITRUS, OTHER",6
"VEGETABLES, MIXED",6
"GRASSES & LEGUMES, OTHER",5
ESCAROLE & ENDIVE,4
HORSERADISH,4
CHICORY,4
WATERCRESS,4
DAIKON,4
WILD RICE,3
DILL,3
TOBACCO,2
