Domain Category,Value Counts
NOT SPECIFIED,14503
ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),338
ORGANIC STATUS: (NOP USDA CERTIFIED),317
ORGANIC STATUS: (NOP USDA EXEMPT),259
AREA HARVESTED: (50.0 TO 99.9 ACRES),212
AREA HARVESTED: (15.0 TO 24.9 ACRES),210
AREA HARVESTED: (100 TO 249 ACRES),210
AREA HARVESTED: (25.0 TO 49.9 ACRES),210
AREA HARVESTED: (1.0 TO 14.9 ACRES),208
AREA HARVESTED: (250 TO 499 ACRES),194
AREA HARVESTED: (500 TO 999 ACRES),183
"AREA HARVESTED: (1,000 OR MORE ACRES)",149
"AREA HARVESTED, FRESH MARKET & PROCESSING: (50.0 TO 99.9 ACRES)",102
"AREA HARVESTED, FRESH MARKET & PROCESSING: (25.0 TO 49.9 ACRES)",102
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 0.9 ACRES)",102
"AREA HARVESTED, FRESH MARKET & PROCESSING: (15.0 TO 24.9 ACRES)",102
"AREA HARVESTED, FRESH MARKET & PROCESSING: (5.0 TO 14.9 ACRES)",102
"AREA HARVESTED, FRESH MARKET & PROCESSING: (1.0 TO 4.9 ACRES)",100
"AREA HARVESTED: (1,000 TO 1,999 ACRES)",99
AREA BEARING & NON-BEARING: (5.0 TO 14.9 ACRES),78
AREA BEARING & NON-BEARING: (50.0 TO 99.9 ACRES),78
AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),78
AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),78
AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES),78
AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),78
AREA BEARING & NON-BEARING: (100 OR MORE ACRES),67
AREA BEARING & NON-BEARING: (100 TO 249 ACRES),64
AREA BEARING & NON-BEARING: (250 TO 499 ACRES),60
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 TO 249 ACRES)",56
"AREA HARVESTED, FRESH MARKET & PROCESSING: (250 TO 499 ACRES)",56
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 OR MORE ACRES)",49
"AREA HARVESTED: (2,000 TO 2,999 ACRES)",41
AREA BEARING & NON-BEARING: (500 OR MORE ACRES),34
AREA IN PRODUCTION: (50.0 TO 99.9 ACRES),28
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 TO 749 ACRES)",28
"AREA HARVESTED: (3,000 TO 4,999 ACRES)",28
"AREA HARVESTED, FRESH MARKET & PROCESSING: (1,000 OR MORE ACRES)",28
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 OR MORE ACRES)",25
CONCENTRATION: (TOP 25 PCT OF OPERATIONS ON FARM SALES BASIS),24
CONCENTRATION: (TOP 75 PCT OF OPERATIONS ON FARM SALES BASIS),24
AREA BEARING & NON-BEARING: (500 TO 749 ACRES),24
CONCENTRATION: (TOP 50 PCT OF OPERATIONS ON FARM SALES BASIS),24
AREA HARVESTED: (25.0 TO 99.9 ACRES),22
AREA HARVESTED: (1.0 TO 24.9 ACRES),22
"AREA HARVESTED, FRESH MARKET & PROCESSING: (750 TO 999 ACRES)",22
"AREA HARVESTED: (5,000 OR MORE ACRES)",19
AREA BEARING & NON-BEARING: (750 TO 999 ACRES),18
"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",18
AREA GROWN: (5.0 TO 14.9 ACRES),18
AREA GROWN: (15.0 TO 24.9 ACRES),18
AREA IN PRODUCTION: (250 TO 499 ACRES),18
AREA GROWN: (1.0 TO 4.9 ACRES),18
CONCENTRATION: (TOP 10 PCT OF OPERATIONS ON FARM SALES BASIS),18
AREA GROWN: (0.1 TO 0.9 ACRES),18
AREA GROWN: (25.0 TO 49.9 ACRES),16
AREA IN PRODUCTION: (100 TO 249 ACRES),16
"AREA HARVESTED: (2,000 OR MORE ACRES)",12
AREA GROWN: (50.0 TO 99.9 ACRES),12
"AREA HARVESTED, FRESH MARKET & PROCESSING: (1,000 TO 1,999 ACRES)",12
AREA IN PRODUCTION: (100 OR MORE ACRES),11
AREA IN PRODUCTION: (20.0 TO 49.9 ACRES),10
AREA IN PRODUCTION: (10.0 TO 19.9 ACRES),10
AREA IN PRODUCTION: (1.0 TO 2.9 ACRES),10
AREA IN PRODUCTION: (3.0 TO 4.9 ACRES),10
AREA IN PRODUCTION: (5.0 TO 9.9 ACRES),10
AREA IN PRODUCTION: (10.0 TO 49.9 ACRES),10
AREA GROWN: (100 OR MORE ACRES),10
AREA IN PRODUCTION: (1.0 TO 9.9 ACRES),10
TAPS: (500 TO 999 TAPS),8
AREA IN PRODUCTION: (0.1 TO 0.9 ACRES),8
TAPS: (100 TO 499 TAPS),8
AREA IN PRODUCTION: (1.0 TO 4.9 ACRES),8
"TAPS: (3,000 TO 4,999 TAPS)",8
"TAPS: (10,000 OR MORE TAPS)",8
AREA IN PRODUCTION: (750 TO 999 ACRES),8
AREA HARVESTED: (500 OR MORE ACRES),8
TAPS: (1 TO 99 TAPS),8
AREA IN PRODUCTION: (500 TO 749 ACRES),8
"TAPS: (1,000 TO 1,999 TAPS)",8
"TAPS: (2,000 TO 2,999 TAPS)",8
"AREA BEARING & NON-BEARING: (1,000 TO 1,999 ACRES)",8
"AREA IN PRODUCTION: (1,000 TO 1,999 ACRES)",8
AREA IN PRODUCTION: (5.0 TO 14.9 ACRES),8
"AREA IN PRODUCTION: (1,000 OR MORE ACRES)",8
"TAPS: (5,000 TO 9,999 TAPS)",8
AREA IN PRODUCTION: (25.0 TO 49.9 ACRES),8
"AREA IN PRODUCTION: (5,000 OR MORE ACRES)",8
AREA IN PRODUCTION: (15.0 TO 24.9 ACRES),8
"AREA HARVESTED, FRESH MARKET & PROCESSING: (5,000 OR MORE ACRES)",8
"AREA IN PRODUCTION: (1,000 TO 1,999 SQ FT)",6
"AREA IN PRODUCTION: (2,000 TO 2,999 ACRES)",6
AREA IN PRODUCTION: (500 OR MORE ACRES),6
AREA HARVESTED: (50 TO 249 ACRES),6
IRRIGATION STATUS: (ANY ON OPERATION),6
"AREA HARVESTED, FRESH MARKET & PROCESSING: (3,000 OR MORE ACRES)",6
IRRIGATION STATUS: (NONE ON OPERATION),6
AREA HARVESTED: (1.0 TO 49.9 ACRES),6
AREA HARVESTED: (100 OR MORE ACRES),6
"AREA IN PRODUCTION: (2,000 TO 2,999 SQ FT)",6
"SALES: (50,000 OR MORE $)",6
"AREA IN PRODUCTION: (3,000 TO 3,999 SQ FT)",6
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),6
"AREA HARVESTED, FRESH MARKET & PROCESSING: (3,000 TO 4,999 ACRES)",6
"AREA IN PRODUCTION: (4,000 TO 5,999 SQ FT)",6
"AREA IN PRODUCTION: (10,000 OR MORE SQ FT)",6
AREA IN PRODUCTION: (1 TO 999 SQ FT),6
"AREA IN PRODUCTION: (6,000 TO 9,999 SQ FT)",6
AREA HARVESTED: (250 OR MORE ACRES),5
AREA HARVESTED: (250 TO 399 ACRES),4
AREA HARVESTED: (0.1 TO 0.9 ACRES),4
"AREA HARVESTED, FRESH MARKET & PROCESSING: (2,000 TO 2,999 ACRES)",4
"AREA IN PRODUCTION: (10,000 TO 19,999 SQ FT)",4
AREA HARVESTED: (400 TO 749 ACRES),4
"AREA IN PRODUCTION: (20,000 TO 39,999 SQ FT)",4
AREA HARVESTED: (750 OR MORE ACRES),4
AREA HARVESTED: (1.0 TO 4.9 ACRES),4
"TAPS: (5,000 OR MORE TAPS)",4
AREA HARVESTED: (5.0 TO 14.9 ACRES),4
AREA HARVESTED: (0.1 TO 14.9 ACRES),4
"AREA IN PRODUCTION: (3,000 TO 4,999 ACRES)",4
"AREA IN PRODUCTION: (3,000 OR MORE ACRES)",4
AREA HARVESTED: (15.0 TO 49.9 ACRES),4
"AREA IN PRODUCTION: (40,000 OR MORE SQ FT)",4
"AREA HARVESTED, FRESH MARKET & PROCESSING: (25.0 TO 99.9 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (5.0 TO 24.9 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 4.9 ACRES)",3
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
NAICS CLASSIFICATION: (11133),2
"TYPE OF OPERATION: (VEGETABLE TRANSPLANTS) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (BULBS & CORMS & RHIZOMES & TUBERS, DRY) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
"TYPE OF OPERATION: (PROPAGATIVE MATERIAL) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (1111),2
TYPE OF OPERATION: (PROPAGATIVE MATERIAL),2
"TYPE OF OPERATION: (FLOWERING PLANTS, POTTED, INDOOR USE) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (VEGETABLE TRANSPLANTS) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (112),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
NAICS CLASSIFICATION: (1119),2
NAICS CLASSIFICATION: (1129),2
