Value,Value Counts
 (D),2162
1,357
2,310
3,215
4,186
5,160
6,138
7,111
9,108
8,101
12,96
13,90
14,87
11,86
19,85
15,79
17,78
18,78
10,74
16,73
24,64
21,63
23,63
26,62
20,62
40,60
22,58
30,54
28,53
29,50
38,50
27,48
25,45
33,44
45,43
32,41
41,41
37,41
39,41
50,40
42,39
60,37
51,36
36,36
43,36
57,35
34,35
31,35
59,34
47,34
35,33
68,33
56,32
63,32
53,32
55,32
44,32
"2,000",31
69,31
52,30
46,30
72,30
58,29
"9,000",29
61,29
"11,000",28
54,28
65,28
"1,800",28
49,27
48,26
"8,000",26
"1,500",26
"1,600",26
67,25
"1,000",25
62,25
80,24
81,24
64,24
"10,000",23
74,23
84,23
"15,000",23
75,22
200,21
"300,000",21
"1,700",21
70,21
"35,000",21
"12,000",20
250,20
"34,000",20
"43,000",20
"20,000",19
78,19
73,19
92,19
66,19
88,18
"4,000",18
90,18
85,18
"2,200",17
89,17
"1,400",17
"21,000",17
"17,000",16
79,16
116,16
76,16
91,16
"350,000",16
125,16
"1,900",16
108,16
260,16
"16,000",16
140,15
"7,000",15
118,15
83,15
"30,000",15
95,15
"55,000",15
"230,000",15
82,15
"80,000",14
"450,000",14
"75,000",14
"27,000",14
100,14
220,14
160,14
"18,000",14
71,14
 (Z),14
"2,300",14
"400,000",14
"13,000",14
"1,100",14
"600,000",14
"60,000",14
103,13
111,13
"31,000",13
320,13
114,13
"14,000",13
"130,000",13
"250,000",13
"5,000",13
800,13
110,13
"36,000",13
"25,000",13
109,13
99,13
"3,000",13
"90,000",13
93,13
"150,000",13
150,12
139,12
105,12
230,12
170,12
"420,000",12
"1,400,000",12
120,12
97,12
"19,000",12
"1,300",12
"42,000",12
"200,000",12
"370,000",12
"110,000",12
115,12
"32,000",12
"26,000",12
300,12
190,12
"290,000",11
87,11
141,11
"550,000",11
"120,000",11
"46,000",11
122,11
"40,000",11
210,11
86,11
193,11
"850,000",11
"390,000",11
"65,000",11
0,11
"330,000",11
"650,000",11
149,11
"2,100",10
215,10
"140,000",10
"37,000",10
127,10
