Commodity,Value Counts
"BEDDING PLANTS, ANNUAL",1817
WHEAT,1591
BEANS,1231
HAY,1194
POTATOES,943
CORN,886
SUNFLOWER,792
"FLOWERING PLANTS, POTTED",751
"BEDDING PLANTS, HERBACEOUS PERENNIAL",707
SOYBEANS,504
VEGETABLE TOTALS,475
BARLEY,440
OATS,438
FOLIAGE PLANTS,428
PEAS,423
SUGARBEETS,417
HAYLAGE,404
HORTICULTURE TOTALS,286
SWEET CORN,279
FLAXSEED,261
RYE,222
PROPAGATIVE MATERIAL,201
HAY & HAYLAGE,197
CUT CHRISTMAS TREES,178
CUT FLOWERS,165
APPLES,144
DECIDUOUS SHADE TREES,140
CROP TOTALS,138
CARROTS,135
CANOLA,127
DECIDUOUS FLOWERING TREES,110
"EVERGREENS, BROADLEAF",108
"EVERGREENS, CONIFEROUS",107
DECIDUOUS SHRUBS,105
MAPLE SYRUP,92
ONIONS,77
MELONS,65
SHORT TERM WOODY CROPS,60
GRASSES & LEGUMES TOTALS,60
FRUIT & NUT PLANTS,59
FLOWER SEEDS,55
"WOODY ORNAMENTALS & VINES, OTHER",53
TRANSPLANTS,52
SORGHUM,51
FIELD CROP TOTALS,47
"FIELD CROPS, OTHER",45
LETTUCE,45
NURSERY TOTALS,44
LEGUMES,43
SOD,43
HERBS,39
PEPPERS,38
GRASSES,37
SQUASH,37
TOMATOES,36
ORCHARDS,35
FLORICULTURE TOTALS,34
BERRY TOTALS,32
CABBAGE,29
GRAPES,29
GRAIN,28
CHERRIES,28
"VEGETABLES, OTHER",27
RASPBERRIES,25
STRAWBERRIES,25
PEARS,24
BLUEBERRIES,24
FRUIT & TREE NUT TOTALS,23
GARLIC,23
BROCCOLI,23
SPINACH,21
BULBS & CORMS & RHIZOMES & TUBERS,21
BUCKWHEAT,21
"BERRIES, OTHER",20
VEGETABLE SEEDS,20
WALNUTS,20
CAULIFLOWER,20
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,19
CUCUMBERS,19
AQUATIC PLANTS,19
FOOD CROP TOTALS,19
GREENS,18
CUT CULTIVATED GREENS,16
BEDDING PLANT TOTALS,16
CUT FLOWERS & CUT CULTIVATED GREENS,16
MUSHROOMS,16
FRUIT TOTALS,16
MINT,15
WILD RICE,15
ORNAMENTAL GRASSES,15
CELERY,14
TREE NUT TOTALS,14
GINSENG,14
PLUMS & PRUNES,14
HAZELNUTS,14
"GRASSES & LEGUMES, OTHER",13
APRICOTS,12
PEACHES,12
BEETS,12
PUMPKINS,12
NON-CITRUS TOTALS,12
"NURSERY, OTHER",12
PECANS,12
SWEET POTATOES,10
CURRANTS,10
BLACKBERRIES,10
PEAS & LENTILS,10
RHUBARB,10
"FRUIT, OTHER",10
MILLET,9
TRITICALE,9
BAREROOT HERBACEOUS PERENNIALS,9
TURNIPS,8
POPCORN,8
EGGPLANT,8
ASPARAGUS,8
"FRUIT & TREE NUTS, OTHER",8
PALMS,8
RADISHES,8
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
"FLORICULTURE, OTHER",7
OKRA,6
CHESTNUTS,6
"TREE NUTS, OTHER",6
CRANBERRIES,6
EMMER & SPELT,6
MUSTARD,6
"HORTICULTURE, OTHER",6
"NON-CITRUS, OTHER",6
BRUSSELS SPROUTS,6
"FOOD CROP, OTHER",5
DAIKON,4
BOYSENBERRIES,4
WATERCRESS,4
HORSERADISH,4
PARSLEY,4
"VEGETABLES, MIXED",4
LENTILS,3
