Commodity,Value Counts
"BEDDING PLANTS, ANNUAL",1722
HAY,1295
WHEAT,934
COTTON,929
CORN,824
RICE,801
"FLOWERING PLANTS, POTTED",781
SOYBEANS,695
SORGHUM,626
"BEDDING PLANTS, HERBACEOUS PERENNIAL",626
FOLIAGE PLANTS,534
TOBACCO,474
VEGETABLE TOTALS,415
POTATOES,380
OATS,338
HAYLAGE,290
HORTICULTURE TOTALS,252
PROPAGATIVE MATERIAL,222
HAY & HAYLAGE,185
PECANS,182
APPLES,153
RYE,146
CROP TOTALS,144
DECIDUOUS SHADE TREES,143
PEACHES,143
CUT CHRISTMAS TREES,136
BARLEY,127
DECIDUOUS FLOWERING TREES,119
"EVERGREENS, CONIFEROUS",116
GRASSES,114
MELONS,112
DECIDUOUS SHRUBS,107
"EVERGREENS, BROADLEAF",106
POPCORN,95
GRASSES & LEGUMES TOTALS,92
CUT FLOWERS,82
BEANS,67
FRUIT & NUT PLANTS,65
TRANSPLANTS,59
PEAS,58
GRAPES,57
SWEET POTATOES,56
SOD,55
"WOODY ORNAMENTALS & VINES, OTHER",49
FIELD CROP TOTALS,47
LETTUCE,45
CUCUMBERS,45
FLOWER SEEDS,44
ORCHARDS,43
"FIELD CROPS, OTHER",43
LEGUMES,43
NURSERY TOTALS,42
TOMATOES,38
HERBS,36
PEPPERS,35
BERRY TOTALS,32
STRAWBERRIES,31
ONIONS,31
CABBAGE,29
SUNFLOWER,28
CUT CULTIVATED GREENS,28
FLORICULTURE TOTALS,28
GREENS,28
SQUASH,28
GRAIN,27
"VEGETABLES, OTHER",27
BLUEBERRIES,26
BLACKBERRIES,25
RASPBERRIES,25
"BERRIES, OTHER",25
PEARS,24
CHERRIES,24
"TREE NUTS, OTHER",24
SPINACH,23
BROCCOLI,23
FRUIT & TREE NUT TOTALS,23
CARROTS,23
SWEET CORN,22
MAPLE SYRUP,22
CAULIFLOWER,21
BULBS & CORMS & RHIZOMES & TUBERS,21
GARLIC,21
AQUATIC PLANTS,21
PEANUTS,20
FOOD CROP TOTALS,19
VEGETABLE SEEDS,18
TREE NUT TOTALS,18
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,17
MUSHROOMS,16
FRUIT TOTALS,16
BEDDING PLANT TOTALS,16
NECTARINES,14
PLUMS & PRUNES,14
APRICOTS,14
CUT FLOWERS & CUT CULTIVATED GREENS,14
"NURSERY, OTHER",12
PERSIMMONS,12
HAZELNUTS,12
"NON-CITRUS, OTHER",12
PUMPKINS,12
NON-CITRUS TOTALS,12
"GRASSES & LEGUMES, OTHER",11
ORNAMENTAL GRASSES,11
ASPARAGUS,10
TURNIPS,10
"FRUIT, OTHER",10
WALNUTS,10
ALMONDS,10
BEETS,10
EMMER & SPELT,9
BUCKWHEAT,9
BAREROOT HERBACEOUS PERENNIALS,9
SUGARBEETS,8
EGGPLANT,8
OKRA,8
"HORTICULTURE, OTHER",8
"FOOD CROP, OTHER",7
"FLORICULTURE, OTHER",7
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
GINSENG,6
CHESTNUTS,6
TRITICALE,6
FLAXSEED,6
RADISHES,6
SHORT TERM WOODY CROPS,6
RHUBARB,4
"VEGETABLES, MIXED",4
AMARANTH,3
WATERCRESS,2
