Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",116
"HORTICULTURE TOTALS - SALES, MEASURED IN $",89
HORTICULTURE TOTALS - OPERATIONS WITH SALES,89
"SOYBEANS - PRODUCTION, MEASURED IN BU",89
SOYBEANS - ACRES HARVESTED,89
"CORN, GRAIN - ACRES HARVESTED",88
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",88
RICE - ACRES HARVESTED,87
"RICE - PRODUCTION, MEASURED IN CWT",87
COTTON - ACRES HARVESTED,86
WHEAT - ACRES HARVESTED,85
"WHEAT - PRODUCTION, MEASURED IN BU",85
"HAY, ALFALFA - ACRES HARVESTED",80
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",80
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",79
"SORGHUM, GRAIN - ACRES HARVESTED",79
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
"CORN, SILAGE - ACRES HARVESTED",77
HAY - ACRES HARVESTED,74
"HAY - PRODUCTION, MEASURED IN TONS",74
"WHEAT, WINTER - ACRES HARVESTED",74
"COTTON, UPLAND - ACRES HARVESTED",74
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",74
"OATS - PRODUCTION, MEASURED IN BU",64
OATS - ACRES HARVESTED,64
"SORGHUM, SILAGE - ACRES HARVESTED",53
TOBACCO - ACRES HARVESTED,53
"TOBACCO - PRODUCTION, MEASURED IN LB",53
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",53
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
SOYBEANS - ACRES PLANTED,50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
COTTON - ACRES PLANTED,50
RICE - ACRES PLANTED,50
SORGHUM - ACRES PLANTED,50
"COTTON, UPLAND - ACRES PLANTED",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
"HAY - PRODUCTION, MEASURED IN $",50
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"RICE - YIELD, MEASURED IN LB / ACRE",50
"COTTON, COTTONSEED - PRODUCTION, MEASURED IN TONS",50
"TOBACCO - YIELD, MEASURED IN LB / ACRE",50
"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT - PRODUCTION, MEASURED IN $",50
"OATS - PRODUCTION, MEASURED IN $",50
