Commodity,Value Counts
WHEAT,2450
HAY,1684
CORN,1578
BEANS,1470
"BEDDING PLANTS, ANNUAL",1424
SORGHUM,1186
SOYBEANS,874
POTATOES,874
"BEDDING PLANTS, HERBACEOUS PERENNIAL",686
OATS,488
SUNFLOWER,487
"FLOWERING PLANTS, POTTED",467
SUGARBEETS,419
FOLIAGE PLANTS,376
HAYLAGE,350
BARLEY,319
VEGETABLE TOTALS,223
HAY & HAYLAGE,199
RYE,198
HORTICULTURE TOTALS,196
CUT CHRISTMAS TREES,159
MILLET,156
POPCORN,145
CROP TOTALS,136
DECIDUOUS SHADE TREES,132
PROPAGATIVE MATERIAL,124
DECIDUOUS SHRUBS,107
DECIDUOUS FLOWERING TREES,102
CUT FLOWERS,98
"EVERGREENS, CONIFEROUS",96
"EVERGREENS, BROADLEAF",80
GRASSES,50
FIELD CROP TOTALS,47
"WOODY ORNAMENTALS & VINES, OTHER",47
"FIELD CROPS, OTHER",46
LETTUCE,43
MELONS,42
FRUIT & NUT PLANTS,40
TOMATOES,38
PEPPERS,36
CHICKPEAS,36
FLORICULTURE TOTALS,34
NURSERY TOTALS,34
SQUASH,34
TRANSPLANTS,33
SWEET CORN,32
LEGUMES,32
ORCHARDS,32
HERBS,30
GRAIN,28
PEAS,28
ONIONS,27
BERRY TOTALS,26
PECANS,26
FLOWER SEEDS,26
CHERRIES,24
SWEET POTATOES,24
APPLES,24
CABBAGE,23
CARROTS,23
"VEGETABLES, OTHER",23
BROCCOLI,23
SPINACH,23
AQUATIC PLANTS,21
PEACHES,20
"BERRIES, OTHER",20
RASPBERRIES,20
STRAWBERRIES,20
BULBS & CORMS & RHIZOMES & TUBERS,20
PEARS,20
VEGETABLE SEEDS,18
"TREE NUTS, OTHER",16
GARLIC,16
CUT CULTIVATED GREENS,16
BEDDING PLANT TOTALS,16
FOOD CROP TOTALS,15
CUCUMBERS,15
SOD,15
TRITICALE,15
"GRASSES & LEGUMES, OTHER",15
PLUMS & PRUNES,14
TREE NUT TOTALS,14
CUT FLOWERS & CUT CULTIVATED GREENS,14
FRUIT TOTALS,14
APRICOTS,14
GRAPES,14
FRUIT & TREE NUT TOTALS,13
ORNAMENTAL GRASSES,13
HAZELNUTS,12
NON-CITRUS TOTALS,12
WALNUTS,12
GRASSES & LEGUMES TOTALS,12
PUMPKINS,12
CELERY,12
"FRUIT, OTHER",10
PEAS & LENTILS,10
BLACKBERRIES,10
SHORT TERM WOODY CROPS,10
NECTARINES,10
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,9
EGGPLANT,8
OKRA,8
GREENS,8
MAPLE SYRUP,8
"FRUIT & TREE NUTS, OTHER",8
ASPARAGUS,8
BEETS,8
RHUBARB,8
RADISHES,8
"FOOD CROP, OTHER",7
"HORTICULTURE, OTHER",6
CHESTNUTS,6
TURNIPS,6
CAULIFLOWER,6
"NON-CITRUS, OTHER",6
BAREROOT HERBACEOUS PERENNIALS,6
"NURSERY, OTHER",5
CANOLA,5
"VEGETABLES, MIXED",4
BLUEBERRIES,4
HORSERADISH,4
PERSIMMONS,4
SAFFLOWER,3
AMARANTH,3
FLAXSEED,3
CHICORY,2
PARSLEY,2
