Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",108
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",89
"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",89
"CORN, GRAIN - ACRES HARVESTED",89
"WHEAT - PRODUCTION, MEASURED IN BU",88
SOYBEANS - ACRES HARVESTED,88
"SOYBEANS, IRRIGATED - ACRES HARVESTED",88
WHEAT - ACRES HARVESTED,88
"SOYBEANS - PRODUCTION, MEASURED IN BU",88
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",87
"WHEAT, IRRIGATED - ACRES HARVESTED",87
"HAY, ALFALFA - ACRES HARVESTED",87
"HAY, ALFALFA, IRRIGATED - ACRES HARVESTED",86
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",80
"SORGHUM, GRAIN - ACRES HARVESTED",80
"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",79
"SUGARBEETS - PRODUCTION, MEASURED IN TONS",78
SUGARBEETS - ACRES HARVESTED,78
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
POTATOES - ACRES HARVESTED,77
"CORN, SILAGE - ACRES HARVESTED",77
"WHEAT, WINTER - ACRES HARVESTED",76
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",76
"HAY - PRODUCTION, MEASURED IN TONS",76
HAY - ACRES HARVESTED,76
"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",76
OATS - ACRES HARVESTED,73
"OATS - PRODUCTION, MEASURED IN BU",73
"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",72
"POTATOES - PRODUCTION, MEASURED IN CWT",68
HORTICULTURE TOTALS - OPERATIONS WITH SALES,67
"HORTICULTURE TOTALS - SALES, MEASURED IN $",67
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",65
"SORGHUM, SILAGE - ACRES HARVESTED",65
"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, WINTER, NON-IRRIGATED - ACRES PLANTED",50
"POTATOES - PRODUCTION, MEASURED IN $",50
"BEANS, DRY EDIBLE, PINTO - PRODUCTION, MEASURED IN CWT",50
POTATOES - ACRES PLANTED,50
"OATS - YIELD, MEASURED IN BU / ACRE",50
"HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS",50
SORGHUM - ACRES PLANTED,50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED",50
"CORN, GRAIN, NON-IRRIGATED - ACRES HARVESTED",50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",50
"WHEAT, WINTER, NON-IRRIGATED - ACRES HARVESTED",50
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
CORN - ACRES PLANTED,50
