Value,Value Counts
 (D),2242
1,465
2,348
3,227
4,186
5,175
6,146
7,114
14,95
11,95
8,93
9,90
12,84
10,80
13,77
15,69
17,64
20,64
16,55
 (Z),50
18,50
24,48
19,47
32,42
30,42
21,40
23,40
25,38
22,38
35,37
34,37
27,36
36,35
31,35
28,34
38,34
37,34
"120,000",30
"2,000",28
29,28
33,26
50,26
40,25
48,25
"1,000",25
26,24
45,23
"110,000",23
41,23
43,23
"2,100,000",23
53,22
44,22
"30,000",21
"1,700,000",21
"100,000",21
"135,000",20
100,20
"60,000",20
"20,000",20
58,20
"90,000",20
"2,300,000",19
"160,000",19
62,19
"1,900,000",19
"95,000",18
42,18
"150,000",18
60,18
39,17
47,17
"140,000",17
55,17
"1,800,000",16
49,16
"25,000",16
46,16
"6,000",16
51,16
"2,050,000",16
"35,000",16
"115,000",16
67,16
"75,000",15
"70,000",15
"130,000",15
54,15
"175,000",15
"85,000",15
"2,500",15
"225,000",15
"50,000",15
66,15
"220,000",15
"200,000",15
"1,900",15
57,15
"165,000",14
"8,000",14
"1,600,000",14
"80,000",14
"22,000",14
59,14
"3,000",14
"11,000",14
"170,000",14
99,13
"1,400,000",13
61,13
"2,200",13
84,13
56,13
"1,650,000",13
"1,800",13
"40,000",12
"1,050,000",12
"230,000",12
"2,100",12
"2,300",12
"14,000",12
"1,750,000",12
17.5,12
"52,000",12
"45,000",12
"2,200,000",12
82,11
63,11
78,11
34.3,11
"3,200,000",11
10.5,11
"250,000",11
"1,600",11
9.5,11
"1,750",11
"77,000",11
"2,000,000",11
12.5,10
95,10
24.5,10
92,10
94,10
"1,400",10
"39,000",10
"13,000",10
31.5,10
"240,000",10
98,10
1.1,10
"210,000",10
"180,000",10
"2,700",10
70,10
101,10
"49,000",10
900,10
"1,100",10
"2,150,000",10
68,10
52,10
"190,000",10
"195,000",10
"73,000",10
104,10
"215,000",10
"2,250,000",10
"9,000",10
"2,600",10
"3,500",9
2.4,9
"450,000",9
147,9
"17,000",9
"10,000",9
"125,000",9
"71,000",9
"92,000",9
"155,000",9
"44,000",9
"205,000",9
73,9
"2,900,000",9
116,9
33.2,9
"12,000",9
"55,000",9
"1,200,000",9
"400,000",9
"1,920,000",9
"79,000",9
87,9
102,9
"88,000",9
128,9
"2,400",9
97,9
"600,000",9
34.9,9
160,9
"5,000",9
11.5,8
"300,000",8
"7,000",8
"2,350,000",8
"3,000,000",8
"3,100,000",8
"65,000",8
"2,900",8
146,8
150,8
28.5,8
"2,800",8
"105,000",8
"1,760,000",8
"83,000",8
320,8
"2,400,000",8
"2,800,000",8
85,8
"1,650",8
"2,600,000",8
"700,000",8
"1,850",8
71,8
"1,350,000",8
"7,500",8
91,8
210,8
"15,000",8
"2,550,000",8
76,8
"315,000",8
"1,950,000",8
"420,000",8
"11,500",8
"32,000",7
"2,500,000",7
"18,000",7
69,7
"84,000",7
64,7
90,7
114,7
"114,000",7
"19,400",7
"48,000",7
36.2,7
162,7
74,7
"3,230,000",7
"126,000",7
83,7
"27,000",7
"36,000",7
"1,250,000",7
"47,000",7
144,7
800,7
129,7
"4,000",7
"1,950",7
"7,300",7
"4,950,000",7
"57,000",7
"1,670,000",7
"38,000",7
"1,300,000",7
"62,000",7
127,7
209,7
"29,000",7
175,7
"380,000",7
130,7
18.5,7
33.1,7
"82,000",7
80,7
33.5,7
"500,000",7
134,7
79,7
"1,850,000",7
29.2,7
"1,550,000",6
"124,000",6
89,6
"67,000",6
"578,000",6
"1,550",6
110,6
75,6
3.3,6
38.6,6
1.3,6
31.3,6
"4,800,000",6
"2,980,000",6
700,6
35.3,6
34.7,6
"3,100",6
13.5,6
4.3,6
111,6
"7,400",6
375,6
184,6
306,6
35.5,6
520,6
"19,500",6
"185,000",6
"4,400",6
"3,600",6
"98,000",6
"480,000",6
26.5,6
123,6
93,6
"104,000",6
109,6
"1,200",6
"7,800",6
"3,400,000",6
"8,700",6
119,6
"1,700",6
"1,500",6
"14,400",6
275,6
178,6
"750,000",6
"19,000",6
"7,600",6
"118,000",6
77,6
360,6
42.1,6
"1,300",6
"151,000",6
"102,000",6
113,6
"5,050,000",6
"23,000",6
34.5,6
16.5,6
"1,670",6
196,6
"76,000",6
1.4,6
"3,300,000",6
"96,000",6
15.5,6
121,5
"1,530,000",5
103,5
425,5
"54,000",5
"222,000",5
"1,980,000",5
"1,270,000",5
149,5
4.1,5
"3,680,000",5
112,5
125,5
"212,000",5
"425,000",5
"10,300",5
106,5
172,5
"1,685,000",5
"980,000",5
"4,500",5
915,5
"72,000",5
47.8,5
"355,000",5
"26,000",5
"21,000",5
"64,000",5
"9,500",5
88,5
"2,030",5
"74,000",5
161,5
"260,000",5
21.5,5
118,5
"2,670,000",5
"1,870,000",5
"2,290",5
"4,050,000",5
139,5
"290,000",5
3.1,5
"2,525,000",5
165,5
"7,700,000",5
"97,000",5
"550,000",5
"3,800,000",5
"148,000",5
260,5
231,5
"2,250",5
"8,500",5
390,5
"2,950,000",5
34.2,5
20.5,5
"1,890,000",5
"1,185,000",5
"330,000",5
3.4,5
81,5
"2,520,000",5
19.5,5
173,5
"66,000",5
"1,450,000",5
"2,220,000",5
"1,050",5
31.1,5
26.7,5
"46,000",5
"78,000",5
"4,500,000",5
"87,000",5
"1,440,000",5
33.6,5
1.25,5
"7,200",5
0.95,5
170,5
"2,040,000",5
"202,000",5
"2,565,000",5
3.7,5
27.8,5
"2,450,000",5
"58,000",5
42.3,5
"24,000",5
"2,070,000",5
72,5
250,5
"41,000",5
"1,620,000",5
"1,040,000",5
"360,000",5
"2,380,000",4
"495,000",4
"4,600,000",4
"2,850,000",4
"9,400",4
"280,000",4
"21,900",4
137,4
"1,116",4
"2,080",4
"2,260",4
40.5,4
300,4
32.4,4
158,4
"3,700",4
"1,680",4
39.3,4
"3,473",4
"2,160,000",4
"2,085,000",4
36.1,4
"4,700,000",4
"340,000",4
"22,500",4
"1,460,000",4
"970,000",4
"3,060,000",4
"1,610,000",4
"56,000",4
"28,000",4
136,4
51.2,4
"53,000",4
"1,743,000",4
"6,885",4
26.2,4
"1,375,000",4
"68,000",4
37.3,4
"133,000",4
"1,130,000",4
"1,780",4
"1,030,000",4
27.5,4
"1,605,000",4
420,4
14.5,4
"3,364",4
65,4
"4,850,000",4
"8,100,000",4
440,4
"81,600,000",4
"208,000",4
"2,650,000",4
"42,000",4
"3,700,000",4
"275,000",4
206,4
143,4
31.7,4
"3,050,000",4
279,4
25.3,4
"4,658",4
"2,070",4
23.5,4
"8,250,000",4
"1,350",4
373,4
"8,400",4
"1,915,000",4
245,4
"1,140,000",4
126,4
"2,815,000",4
"297,000",4
43.5,4
"5,546",4
"1,240",4
303,4
311,4
"2,744",4
31.6,4
"1,795,000",4
96,4
"13,500",4
"106,000",4
"2,027,000",4
28.1,4
"7,400,000",4
"3,070,000",4
"4,760,000",4
"31,000",4
"2,190,000",4
270,4
"47,500",4
290,4
600,4
8.8,4
20.3,4
31.2,4
"2,860,000",4
185,4
31.8,4
"2,415,000",4
107,4
"1,855,000",4
"1,521,000",4
"1,075,000",4
92.5,4
28.4,4
230,4
"3,349",4
38.2,4
"2,140",4
"2,425,000",4
29.4,4
115,4
"995,000",4
35.8,4
"24,960",4
226,4
"98,240,000",4
886,4
"960,000",4
"1,970,000",4
"561,000",4
"2,270",4
40.4,4
"1,455,000",4
2.5,4
"394,000",4
"11,100",4
"2,871,000",4
285,4
182,4
"410,000",4
"119,000",4
"1,860,000",4
20.2,4
"1,810",4
33.8,4
"59,700",4
"6,542",4
280,4
"4,200",4
256,4
19.8,4
"64,300",4
"2,160",4
"8,200",4
772,4
"16,000",4
"4,505,000",4
29.7,4
36.3,4
"145,000",4
"2,717,000",4
"8,245,000",4
"111,000",4
"2,730,000",4
"8,100",4
"73,500,000",4
"7,800,000",4
212,4
33.7,4
152,4
263,4
"660,000",4
30.7,4
"89,000",4
"3,273,000",4
1.2,4
"776,191",4
"1,520,000",4
"1,990",4
"840,000",4
388,4
"11,200",4
"1,150,000",4
"622,000",4
"1,710,000",4
208,4
"1,775,000",4
42.5,4
"14,500",4
"11,412",4
"1,590",3
0.8,3
39.4,3
"1,102,000",3
20.4,3
"1,055,000",3
2.9,3
"211,000",3
2.1,3
"1,048,000",3
"12,400",3
2.7,3
"1,672,000",3
"295,000",3
264,3
"1,500,000",3
244,3
"128,000",3
376,3
135,3
"4,300,000",3
"132,000",3
"950,000",3
"1,780,000",3
156,3
142,3
36.9,3
"350,000",3
"2,560,000",3
"1,680,000",3
"69,000",3
174,3
"3,850,000",3
"3,600,000",3
"797,000",3
"650,000",3
"19,800",3
215,3
"2,410,000",3
"8,300",3
"2,275,000",3
"1,760",3
33.4,3
"121,000",3
"1,000,000",3
"545,000",3
429,3
361,3
"19,900",3
132,3
"67,500",3
1.35,3
"3,240,000",3
203,3
148,3
237,3
"1,902,000",3
"1,575,000",3
"8,500,000",3
"1,960,000",3
259,3
"47,400",3
"2,460,000",3
"1,515,000",3
16.9,3
50.5,3
"6,800,000",3
"3,450,000",3
199,3
355,3
2.12,3
154,3
"1,742,000",3
"1,690",3
"820,000",3
"68,640,000",3
"72,700",3
"320,000",3
"1,393,000",3
"108,000",3
39.2,3
"41,285",3
34.8,3
9.1,3
"1,560,000",3
654,3
"1,188,000",3
"5,180,000",3
18.3,3
21.9,3
"4,078",3
"23,500",3
"4,900",3
316,3
"21,600",3
9.7,3
25.8,3
"4,201",3
"754,000",3
33.3,3
500,3
"245,000",3
33.9,3
"1,191",3
339,3
"1,239,000",3
"2,625,000",3
"630,000",3
"385,000",3
"1,110,000",3
"1,020,000",3
30.5,3
633,3
"1,462,000",3
"1,035,000",3
15.1,3
"44,938",3
"1,830,000",3
"5,040,000",3
"270,000",3
"21,100",3
4.35,3
"3,900",3
"1,935,000",3
"3,870,000",3
"4,845",3
12.9,3
"2,060",3
410,3
