Commodity,Value Counts
WHEAT,4750
HAY,1253
CORN,1219
BARLEY,1200
"BEDDING PLANTS, ANNUAL",1099
BEANS,1059
SUNFLOWER,978
POTATOES,896
SOYBEANS,488
"BEDDING PLANTS, HERBACEOUS PERENNIAL",441
OATS,434
SUGARBEETS,407
FLAXSEED,377
RYE,265
VEGETABLE TOTALS,253
PEAS,232
HAYLAGE,230
CANOLA,168
"FLOWERING PLANTS, POTTED",165
HAY & HAYLAGE,152
CROP TOTALS,127
FOLIAGE PLANTS,121
HORTICULTURE TOTALS,118
CHICKPEAS,100
DECIDUOUS SHADE TREES,96
SORGHUM,87
LENTILS,73
MILLET,64
"EVERGREENS, CONIFEROUS",60
DECIDUOUS SHRUBS,49
FIELD CROP TOTALS,47
"FIELD CROPS, OTHER",41
DECIDUOUS FLOWERING TREES,40
CUT FLOWERS,34
"WOODY ORNAMENTALS & VINES, OTHER",28
ONIONS,28
TOMATOES,28
HERBS,27
GRAIN,27
FRUIT & NUT PLANTS,26
NURSERY TOTALS,26
CHERRIES,26
MELONS,26
ORCHARDS,24
TRANSPLANTS,22
CARROTS,22
MINT,22
BUCKWHEAT,21
FRUIT & TREE NUT TOTALS,21
BERRY TOTALS,21
SWEET CORN,20
SQUASH,18
PEPPERS,18
LEGUMES,17
AQUATIC PLANTS,16
CUCUMBERS,15
GRAPES,14
FLORICULTURE TOTALS,14
"VEGETABLES, OTHER",14
"EVERGREENS, BROADLEAF",14
STRAWBERRIES,14
APPLES,14
BEDDING PLANT TOTALS,14
VEGETABLE SEEDS,14
PLUMS & PRUNES,14
SOD,14
CUT CULTIVATED GREENS,12
SAFFLOWER,12
GARLIC,12
NON-CITRUS TOTALS,12
MUSTARD,11
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,11
"FRUIT, OTHER",10
RASPBERRIES,10
PUMPKINS,10
SPINACH,10
PEAS & LENTILS,10
CELERY,10
CUT FLOWERS & CUT CULTIVATED GREENS,10
SWEET POTATOES,10
CUT CHRISTMAS TREES,10
"BERRIES, OTHER",10
TRITICALE,9
EMMER & SPELT,9
FRUIT TOTALS,8
LETTUCE,8
CABBAGE,8
ASPARAGUS,8
ORNAMENTAL GRASSES,8
GRASSES & LEGUMES TOTALS,8
"FRUIT & TREE NUTS, OTHER",8
BROCCOLI,8
BEETS,8
PROPAGATIVE MATERIAL,7
FOOD CROP TOTALS,7
GRASSES,6
BLACKBERRIES,6
EGGPLANT,6
"GRASSES & LEGUMES, OTHER",6
"NON-CITRUS, OTHER",6
"FOOD CROP, OTHER",5
TREE NUT TOTALS,4
BRUSSELS SPROUTS,4
"TREE NUTS, OTHER",4
"HORTICULTURE, OTHER",4
"VEGETABLES, MIXED",4
APRICOTS,4
SHORT TERM WOODY CROPS,4
HORSERADISH,4
BLUEBERRIES,4
RHUBARB,4
AMARANTH,3
CRAMBE,3
"NURSERY, OTHER",3
FLOWER SEEDS,3
CAULIFLOWER,2
