Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",99
POTATOES - ACRES HARVESTED,95
"WHEAT - PRODUCTION, MEASURED IN BU",89
WHEAT - ACRES HARVESTED,89
SOYBEANS - ACRES HARVESTED,88
"SOYBEANS - PRODUCTION, MEASURED IN BU",88
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",88
"CORN, GRAIN - ACRES HARVESTED",88
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",87
"HAY, ALFALFA - ACRES HARVESTED",87
BARLEY - ACRES HARVESTED,84
"BARLEY - PRODUCTION, MEASURED IN BU",84
"POTATOES - PRODUCTION, MEASURED IN CWT",80
"SUNFLOWER - PRODUCTION, MEASURED IN LB",79
SUNFLOWER - ACRES HARVESTED,79
"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",77
OATS - ACRES HARVESTED,77
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",77
"OATS - PRODUCTION, MEASURED IN BU",77
"WHEAT, SPRING, DURUM - ACRES HARVESTED",77
"CORN, SILAGE - ACRES HARVESTED",77
"FLAXSEED - PRODUCTION, MEASURED IN BU",77
"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",77
FLAXSEED - ACRES HARVESTED,77
HAY - ACRES HARVESTED,75
"HAY - PRODUCTION, MEASURED IN TONS",75
"SUGARBEETS - PRODUCTION, MEASURED IN TONS",71
SUGARBEETS - ACRES HARVESTED,71
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",68
"WHEAT, WINTER - ACRES HARVESTED",68
"WHEAT, IRRIGATED - ACRES HARVESTED",65
"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",64
"SUNFLOWER, OIL TYPE - ACRES HARVESTED",61
"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",61
"SUNFLOWER, NON-OIL TYPE - ACRES HARVESTED",60
"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",60
"BARLEY, IRRIGATED - ACRES HARVESTED",54
"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",54
POTATOES - OPERATIONS WITH AREA HARVESTED,53
"WHEAT, SPRING, DURUM, IRRIGATED - ACRES HARVESTED",52
"HAY - YIELD, MEASURED IN TONS / ACRE",50
FLAXSEED - ACRES PLANTED,50
"WHEAT, SPRING, DURUM - ACRES PLANTED",50
SUGARBEETS - ACRES PLANTED,50
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN $",50
"POTATOES - PRODUCTION, MEASURED IN $",50
CORN - ACRES PLANTED,50
