Value,Value Counts
 (D),1851
1,456
2,351
5,179
3,160
4,149
6,97
7,94
8,72
9,67
12,58
100,53
11,52
31,52
14,50
10,50
13,48
15,45
27,39
29,36
33,36
32,35
19,34
16,33
26,33
22,33
21,32
30,32
28,30
23,29
17,29
 (Z),28
24,28
25,28
"4,000",28
40,26
18,26
34,25
20,24
35,23
"130,000",23
"140,000",23
"110,000",22
"135,000",22
"1,300",22
"1,000",21
"120,000",21
"5,000",21
37,21
45,20
"7,000",19
59,18
"220,000",18
"3,000",18
"125,000",17
55,17
"75,000",17
38,17
46,17
"1,400",17
"1,500",16
26.5,16
"80,000",16
36,16
"2,900,000",15
"60,000",15
"2,000",15
31.5,15
53,15
"25,000",15
48,15
39,15
49,15
"150,000",15
25.9,14
"160,000",14
51,14
"200,000",14
25.5,14
41,14
28.6,14
26.9,14
"1,050,000",14
"8,000",14
"180,000",14
"6,000",14
29.5,13
"170,000",13
52,13
"113,000",13
"82,000",13
"1,100",13
"9,000",13
"100,000",13
"70,000",12
145,12
"1,500,000",12
32.5,12
"750,000",12
47,12
"65,000",12
"1,450",11
"10,000",11
70,11
"115,000",11
43,11
"15,000",11
"1,600,000",11
"1,450,000",11
"13,000",11
68,11
58,11
"2,600,000",11
"121,000",11
30.9,11
"520,000",11
"112,000",11
"40,000",11
200,11
"1,300,000",11
"1,350,000",10
1.3,10
"145,000",10
26.8,10
24.5,10
"24,000",10
"38,000",10
"1,700",10
"1,950,000",10
"116,000",10
42,10
"1,400,000",10
27.5,10
"300,000",10
28.9,10
"18,000",10
"1,260",10
"7,100",10
"155,000",10
52.1,10
"3,500",9
260,9
"30,000",9
"4,400",9
84,9
"20,000",9
1.2,9
"1,350",9
"620,000",9
160,9
600,9
"114,000",9
30.5,9
"17,000",9
44,9
"22,000",9
"1,200",9
"2,400,000",9
"11,000",9
"6,800",9
"5,300",9
25.7,9
"175,000",9
"600,000",9
"2,800,000",9
"111,000",9
50,9
"122,000",8
28.7,8
112,8
2.1,8
57,8
"133,000",8
140,8
31.6,8
26.7,8
"2,950,000",8
"2,200,000",8
"1,480",8
"500,000",8
"320,000",8
25.6,8
"102,000",8
"250,000",8
16.1,8
"210,000",8
"5,700",8
"700,000",8
"54,000",8
31.7,8
