Value,Value Counts
 (D),1673
1,335
2,259
3,212
4,161
5,153
6,106
7,103
8,102
10,88
9,86
11,84
12,77
15,71
13,67
16,64
14,64
22,58
17,58
18,57
20,53
44,49
25,49
19,47
32,46
29,44
 (Z),43
21,40
23,39
30,39
31,38
26,38
28,36
36,35
33,34
35,34
46,33
55,31
27,30
48,30
100,30
34,29
24,29
61,29
41,28
49,28
50,28
39,27
40,26
38,25
52,25
47,25
51,24
53,24
58,24
45,24
54,23
37,23
56,23
63,23
43,23
67,22
"5,000",22
70,21
62,21
42,21
76,20
57,20
60,20
105,19
64,19
87,18
"1,500",17
"1,300",17
65,16
68,16
"1,400",16
72,16
71,16
230,15
"1,700",15
99,15
180,15
"6,000",15
69,15
"2,000",15
120,14
"8,000",14
200,14
88,14
210,14
92,14
190,14
74,14
80,13
"1,200,000",13
79,13
91,13
75,13
"4,000",13
78,13
59,13
"2,100",12
85,12
"1,600",12
"1,900",12
66,12
108,12
125,12
"170,000",11
185,11
"1,200",11
73,11
"16,000",11
127,11
"7,000",11
"2,200",11
109,11
"11,000",11
138,10
256,10
"1,800",10
"4,400",10
205,10
95,10
116,10
"9,000",10
93,10
167,10
165,10
"9,500",10
"180,000",10
260,10
77,10
"1,100",10
121,10
215,10
160,10
"12,000",10
86,9
146,9
"15,000",9
255,9
155,9
98,9
89,9
300,9
82,9
"6,700",9
110,9
2.4,9
131,9
170,9
90,9
94,9
"17,000",9
"9,800",9
96,8
195,8
"4,300",8
"600,000",8
123,8
"1,300,000",8
"13,000",8
"3,000",8
"700,000",8
"250,000",8
"3,300,000",8
"10,400",8
97,8
"6,400",8
380,8
800,8
"1,080,000",8
102,8
140,8
"3,400",8
"90,000",8
"3,900,000",8
"3,800",8
"80,000",8
84,8
83,8
"5,800",8
"6,600",8
"3,700",8
"2,300",8
"2,050",8
183,7
114,7
354,7
150,7
"20,000",7
"1,000,000",7
"120,000",7
"5,500",7
112,7
"160,000",7
161,7
111,7
"1,490,000",7
207,7
"10,000",7
480,7
191,7
"950,000",7
175,7
"1,440,000",7
310,7
"1,050,000",7
"65,000",7
"8,500",7
245,7
"1,950",7
"5,200",7
132,7
"40,000",7
"14,000",7
118,7
135,7
2.2,7
240,7
172,7
"2,500",7
"75,000",7
171,7
103,7
189,7
"5,600",7
900,7
139,7
117,7
"11,500",6
107,6
148,6
"990,000",6
153,6
700,6
"450,000",6
"1,150,000",6
164,6
163,6
"900,000",6
157,6
166,6
156,6
136,6
"38,000",6
"3,900",6
113,6
"3,400,000",6
"11,900",6
"28,000",6
272,6
188,6
"11,400",6
"4,500",6
81,6
"42,000",6
"76,000",6
299,6
"3,200",6
"7,700",6
115,6
250,6
2.6,6
"1,400,000",6
"550,000",6
"70,000",6
"7,400",6
147,6
101,6
"1,893",6
294,6
325,6
"1,230,000",6
"3,300",6
169,6
192,6
"3,600",6
122,6
162,6
128,6
"1,000",6
1.5,6
"860,000",5
218,5
"19,000",5
231,5
"440,000",5
168,5
2.5,5
"2,700",5
530,5
"561,000",5
"1,650",5
"4,200",5
"10,500",5
137,5
"1,680,000",5
265,5
"9,700",5
133,5
"5,100",5
600,5
3.5,5
196,5
"3,600,000",5
270,5
285,5
"3,000,000",5
198,5
"3,800,000",5
244,5
336,5
224,5
"1,097,000",5
"5,300",5
141,5
"525,000",5
2.1,5
470,5
201,5
159,5
"2,800,000",5
193,5
208,5
"50,000",5
547,5
"3,700,000",5
"155,000",5
"16,100",5
335,5
"7,900",5
"15,900",5
143,5
225,5
"6,200",5
"3,500",5
"9,100",5
"3,100",5
211,5
263,5
144,5
412,5
"150,000",5
142,5
"3,500,000",5
370,5
"25,000",5
106,5
"200,000",5
271,5
212,5
"1,750",5
"920,000",5
"100,000",5
158,5
"31,000",5
"1,600,000",5
126,5
"12,700",4
"11,485",4
152,4
"8,700",4
12.7,4
"730,000",4
"10,200",4
2.9,4
"7,500",4
1.4,4
622,4
358,4
"1,090,000",4
304,4
149,4
329,4
"1,515",4
"1,140,000",4
"1,350,000",4
"7,800",4
"5,900",4
297,4
"35,000",4
"510,000",4
242,4
30.5,4
"16,200",4
"11,200",4
221,4
14.5,4
"7,600",4
375,4
"220,000",4
2.7,4
"660,000",4
"10,800",4
268,4
"45,000",4
130,4
178,4
"175,000",4
"2,880,000",4
427,4
"16,500",4
"3,750,000",4
"13,100",4
"380,000",4
"1,210,000",4
"3,450,000",4
124,4
"95,000",4
"252,624",4
"1,330,000",4
"124,000",4
"1,120,000",4
"800,000",4
177,4
"23,200",4
"15,300",4
"1,180,000",4
"4,800",4
"3,850,000",4
"4,500,000",4
"720,000",4
"23,300",4
"3,150,000",4
289,4
"725,000",4
"2,600",4
"12,100",4
262,4
"9,300",4
"1,160,000",4
249,4
"116,000",4
"840,000",4
"1,540,000",4
550,4
594,4
"1,167",4
295,4
"4,600",4
"3,060,000",4
"9,200",4
"3,550,000",4
"17,500",4
"10,600",4
145,4
"1,960",4
2.15,4
"340,000",4
"22,500",4
"465,000",4
"36,000",4
"1,250,000",4
134,4
"11,600",4
"1,530",4
"4,000,000",4
"1,260,000",4
"960,000",4
303,4
"3,100,000",4
"11,700",4
"63,000",4
"732,106",4
"500,000",4
"300,000",4
"1,307",4
"6,300",4
3.4,4
"18,000",4
593,4
"2,400",4
"266,000",3
"1,697,000",3
"1,238,000",3
"3,870,000",3
"6,500",3
"810,000",3
"704,000",3
"925,000",3
"1,740",3
"1,760",3
288,3
"1,700,000",3
"7,000,000",3
"1,258,000",3
213,3
"890,000",3
516,3
"13,700",3
"270,000",3
2.95,3
179,3
18.7,3
"239,000",3
"18,894,000",3
"2,160,000",3
324,3
"1,580",3
"12,300",3
"2,800",3
"1,240,000",3
"2,550,000",3
"3,480,000",3
36.1,3
"1,725,000",3
"1,840",3
2.42,3
"122,000",3
154,3
278,3
"5,754,000",3
12.5,3
362,3
429,3
491,3
"328,000",3
28.5,3
"43,000",3
16.7,3
264,3
"4,700",3
"6,100",3
"1,056",3
"2,190",3
236,3
275,3
"1,064,000",3
"1,134,000",3
468,3
219,3
"2,250",3
591,3
"15,800",3
996,3
"16,300",3
430,3
650,3
129,3
"3,070,000",3
"13,600",3
483,3
"1,595",3
376,3
"1,450,000",3
"58,000",3
"110,000",3
194,3
"14,400",3
24.5,3
"37,000",3
227,3
274,3
"620,000",3
"1,625,000",3
3.7,3
"640,000",3
"5,400",3
3.1,3
254,3
"3,630,000",3
184,3
"3,250,000",3
"750,000",3
475,3
"3,650,000",3
"494,000",3
"19,483",3
338,3
"944,000",3
"24,900",3
119,3
"4,150,000",3
45.2,3
"22,000",3
"1,224",3
413,3
226,3
"740,000",3
"4,600,000",3
396,3
"10,900",3
23.4,3
"2,140",3
2.3,3
632,3
355,3
"1,320,000",3
"7,100",3
718,3
209,3
"30,000",3
"55,000",3
"425,000",3
298,3
450,3
104,3
"1,758,000",3
"20,900",3
"60,000",3
"1,404,000",3
"2,994",3
"520,000",3
463,3
419,3
173,3
"276,000",3
675,3
"932,000",3
"3,620,000",3
"32,000",3
576,3
873,3
485,3
"1,837",3
220,3
"1,514,000",3
536,3
247,3
"470,000",3
151,3
"1,550,000",3
1.95,3
"850,000",3
182,3
"11,800",3
"1,125,000",3
"3,360,000",3
"10,300",3
"17,700",3
"13,400",3
344,3
"1,057",3
276,3
301,3
"1,549,000",3
"10,700",3
"17,100",3
385,3
"12,200",3
"2,380,000",3
"1,425,000",3
346,3
18.8,3
"25,100",3
"4,100,000",3
"1,467",3
462,3
"115,000",3
435,3
367,3
"3,350,000",3
15.9,3
403,3
"1,584,000",3
"5,700",3
314,3
560,3
20.3,3
"1,462,000",3
"1,430,000",3
"650,000",3
330,3
309,3
"1,008,000",3
772,3
"78,000",3
"1,894,000",3
306,3
"14,800",3
"902,000",3
"3,388,000",3
426,3
206,3
174,3
"155,625",2
332,2
"42,631,000",2
"480,000",2
"370,000",2
"149,948",2
"67,450,000",2
"240,000",2
"1,351",2
54.8,2
"94,060",2
"79,946,000",2
623,2
"78,433,000",2
395,2
"99,967",2
"570,000",2
770,2
"912,000",2
"216,369",2
"20,950",2
"219,604",2
"1,356,000",2
494,2
29.5,2
"948,000",2
"130,000",2
"29,308",2
"1,465,000",2
"234,610,000",2
"10,136,000",2
"2,162",2
2.83,2
"1,324",2
"16,800",2
"78,044,000",2
308,2
"2,446",2
"6,348",2
"9,991,000",2
0.2,2
"37,552",2
"3,988",2
"8,900",2
"55,600,000",2
"2,496",2
"3,952,000",2
"3,348,000",2
"14,340",2
"453,092",2
973,2
"1,159",2
"1,620",2
"41,536,000",2
720,2
"3,527",2
409,2
13.5,2
16.6,2
279,2
"967,000",2
"42,800",2
"21,527",2
"27,943,000",2
"48,300,000",2
"5,804",2
259,2
"3,120,000",2
"186,000",2
"5,745",2
"2,200,000",2
"19,100",2
"1,835",2
"16,074,885",2
"1,340,000",2
"7,474,000",2
30.4,2
"2,215",2
"73,030,000",2
"355,254",2
"2,100,000",2
"680,892",2
405,2
"2,720,000",2
"336,000",2
"158,695,000",2
"44,530,000",2
"258,509,000",2
"61,079,000",2
"24,050",2
"180,831,000",2
"13,240",2
"2,679",2
"1,990,001",2
"864,000",2
"2,570,000",2
"25,600,000",2
"70,560,000",2
"15,750,000",2
16.9,2
"12,640,000",2
"261,194",2
1.84,2
"5,730,000",2
"9,205",2
"21,797",2
