Data Item,Value Counts
"CROP TOTALS - SALES, MEASURED IN $",102
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",89
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",89
"CORN, GRAIN - ACRES HARVESTED",89
"HAY, ALFALFA - ACRES HARVESTED",89
"WHEAT - PRODUCTION, MEASURED IN BU",89
"SOYBEANS - PRODUCTION, MEASURED IN BU",89
SOYBEANS - ACRES HARVESTED,89
WHEAT - ACRES HARVESTED,89
"SORGHUM, GRAIN - ACRES HARVESTED",81
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",81
"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",80
BARLEY - ACRES HARVESTED,77
"CORN, SILAGE - ACRES HARVESTED",77
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",77
"BARLEY - PRODUCTION, MEASURED IN BU",77
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",77
HAY - ACRES HARVESTED,76
"HAY - PRODUCTION, MEASURED IN TONS",76
"WHEAT, WINTER - ACRES HARVESTED",76
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",76
OATS - ACRES HARVESTED,76
"OATS - PRODUCTION, MEASURED IN BU",76
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",68
"SORGHUM, SILAGE - ACRES HARVESTED",68
"SUNFLOWER - PRODUCTION, MEASURED IN LB",64
SUNFLOWER - ACRES HARVESTED,64
"FLAXSEED - PRODUCTION, MEASURED IN BU",53
FLAXSEED - ACRES HARVESTED,53
"WHEAT, SPRING, DURUM - ACRES HARVESTED",53
"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",53
"SUNFLOWER, OIL TYPE - ACRES HARVESTED",51
"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",51
"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",51
"FLAXSEED - YIELD, MEASURED IN BU / ACRE",50
"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
OATS - ACRES PLANTED,50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
FLAXSEED - ACRES PLANTED,50
"WHEAT, WINTER - ACRES PLANTED",50
"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",50
"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",50
"BARLEY - YIELD, MEASURED IN BU / ACRE",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
WHEAT - ACRES PLANTED,50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",50
SOYBEANS - ACRES PLANTED,50
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN $",50
BARLEY - ACRES PLANTED,50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",50
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",50
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"SOYBEANS - PRODUCTION, MEASURED IN $",50
"WHEAT - PRODUCTION, MEASURED IN $",50
"OATS - PRODUCTION, MEASURED IN $",50
"SUNFLOWER, NON-OIL TYPE - ACRES HARVESTED",50
"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN $",50
CORN - ACRES PLANTED,50
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
SORGHUM - ACRES PLANTED,50
"BARLEY - PRODUCTION, MEASURED IN $",50
"SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, SPRING, DURUM - ACRES PLANTED",50
"OATS - YIELD, MEASURED IN BU / ACRE",50
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
"HAY - PRODUCTION, MEASURED IN $",50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $",49
"RYE - PRODUCTION, MEASURED IN BU",48
RYE - ACRES HARVESTED,48
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",47
POTATOES - ACRES HARVESTED,47
WHEAT - OPERATIONS WITH AREA HARVESTED,47
SOYBEANS - OPERATIONS WITH AREA HARVESTED,47
"POTATOES - PRODUCTION, MEASURED IN CWT",46
"RYE - YIELD, MEASURED IN BU / ACRE",45
RYE - ACRES PLANTED,45
"POTATOES - YIELD, MEASURED IN CWT / ACRE",44
POTATOES - ACRES PLANTED,44
"POTATOES, FALL - YIELD, MEASURED IN CWT / ACRE",44
"POTATOES, FALL - ACRES HARVESTED",44
"POTATOES - PRODUCTION, MEASURED IN $",44
"POTATOES, FALL - PRODUCTION, MEASURED IN $",44
"POTATOES, FALL - PRODUCTION, MEASURED IN CWT",44
"POTATOES, FALL - ACRES PLANTED",44
"HORTICULTURE TOTALS - SALES, MEASURED IN $",42
HORTICULTURE TOTALS - OPERATIONS WITH SALES,42
"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",41
"CORN, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU",41
"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",39
"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",39
"HAY, ALFALFA - OPERATIONS WITH AREA HARVESTED",39
"WHEAT, WINTER, NON-IRRIGATED - ACRES HARVESTED",38
"WHEAT, WINTER, NON-IRRIGATED - ACRES PLANTED",38
"WHEAT, WINTER, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",38
"HAY, WILD - ACRES HARVESTED",38
"HAY, WILD - PRODUCTION, MEASURED IN TONS",38
"WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",38
"BARLEY, NON-IRRIGATED - ACRES HARVESTED",37
"WHEAT - YIELD, MEASURED IN BU / NET PLANTED ACRE",37
"BARLEY, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",37
"BARLEY, NON-IRRIGATED - ACRES PLANTED",37
"BARLEY, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",37
"WHEAT, WINTER - YIELD, MEASURED IN BU / NET PLANTED ACRE",37
SUNFLOWER - OPERATIONS WITH AREA HARVESTED,36
"WHEAT, WINTER - ACRES PLANTED, NET",36
