Domain Category,Value Counts
NOT SPECIFIED,13124
AREA HARVESTED: (50.0 TO 99.9 ACRES),270
AREA HARVESTED: (100 TO 249 ACRES),270
AREA HARVESTED: (25.0 TO 49.9 ACRES),266
AREA HARVESTED: (250 TO 499 ACRES),258
AREA HARVESTED: (1.0 TO 14.9 ACRES),251
AREA HARVESTED: (15.0 TO 24.9 ACRES),246
AREA HARVESTED: (500 TO 999 ACRES),238
"AREA HARVESTED: (1,000 OR MORE ACRES)",208
ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),199
ORGANIC STATUS: (NOP USDA CERTIFIED),131
"AREA HARVESTED: (1,000 TO 1,999 ACRES)",127
"AREA HARVESTED: (2,000 TO 2,999 ACRES)",105
ORGANIC STATUS: (NOP USDA EXEMPT),102
"AREA HARVESTED: (3,000 TO 4,999 ACRES)",93
"AREA HARVESTED: (5,000 OR MORE ACRES)",76
CONCENTRATION: (TOP 75 PCT OF OPERATIONS ON FARM SALES BASIS),24
CONCENTRATION: (TOP 50 PCT OF OPERATIONS ON FARM SALES BASIS),24
AREA HARVESTED: (25.0 TO 99.9 ACRES),20
CONCENTRATION: (TOP 25 PCT OF OPERATIONS ON FARM SALES BASIS),20
AREA HARVESTED: (1.0 TO 24.9 ACRES),20
CONCENTRATION: (TOP 10 PCT OF OPERATIONS ON FARM SALES BASIS),18
AREA HARVESTED: (500 OR MORE ACRES),13
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),6
IRRIGATION STATUS: (ANY ON OPERATION),6
"SALES: (50,000 OR MORE $)",6
"AREA HARVESTED: (2,000 OR MORE ACRES)",6
AREA HARVESTED: (50 TO 249 ACRES),6
AREA HARVESTED: (1.0 TO 49.9 ACRES),6
IRRIGATION STATUS: (NONE ON OPERATION),6
AREA HARVESTED: (250 OR MORE ACRES),6
"AREA HARVESTED, FRESH MARKET & PROCESSING: (25.0 TO 99.9 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 OR MORE ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (5.0 TO 24.9 ACRES)",3
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 4.9 ACRES)",3
NAICS CLASSIFICATION: (1114),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
TYPE OF OPERATION: (CUT CHRISTMAS TREES),2
