Value,Value Counts
 (D),2404
1,688
2,364
3,211
4,172
6,119
5,115
7,109
8,98
9,68
11,60
100,57
10,55
12,54
14,49
24,47
13,45
36,42
18,41
25,40
26,39
35,39
20,39
32,39
34,37
15,37
17,35
28,35
42,35
22,35
19,34
30,31
16,30
41,28
23,27
 (Z),26
38,26
33,25
45,25
37,25
40,25
27,25
"1,600,000",24
29,22
"250,000",22
"10,000",22
"20,000",22
"2,200,000",21
43,21
47,21
"1,000",21
"130,000",20
46,20
21,19
"120,000",19
"25,000",19
"560,000",18
"90,000",18
31,18
"1,300,000",18
"1,700,000",18
"60,000",18
55,17
39,17
"180,000",17
"9,000",17
"500,000",16
"50,000",16
44,16
"150,000",16
"1,800,000",16
"1,650,000",16
"270,000",16
"200,000",15
"450,000",15
"15,000",15
"55,000",15
"2,400,000",15
"210,000",15
"160,000",15
67,14
60,14
"2,250,000",14
"400,000",14
"175,000",14
48,14
"2,300,000",14
"1,400,000",14
"24,000",14
49,14
52,14
"14,000",13
"550,000",13
"1,550,000",13
"11,000",13
"100,000",13
"1,850,000",13
"260,000",13
"6,000",13
"12,000",12
"40,000",12
"460,000",12
"220,000",12
"300,000",12
"2,500,000",12
"2,100,000",12
"1,900,000",12
"2,350,000",12
1.5,12
"19,000",12
"80,000",12
"2,000,000",12
"1,100",12
"30,000",12
"5,800",11
"350,000",11
"600,000",11
53,11
70,11
"8,000",11
"5,000",11
"145,000",11
"65,000",11
121,11
"2,550,000",11
"7,000",11
"3,800,000",11
"2,000",11
"370,000",10
54,10
32.4,10
51,10
"1,500,000",10
71,10
"1,980,000",10
"110,000",10
"190,000",10
"13,000",10
66,10
"85,000",10
"1,350,000",10
1.2,10
56,10
"380,000",10
"470,000",10
7.5,10
63,10
"215,000",10
"5,900",10
"580,000",10
"590,000",9
"420,000",9
"18,000",9
"5,500",9
"360,000",9
"4,000",9
"115,000",9
"310,000",9
"3,000",9
"7,500",9
"135,000",9
22.1,9
"3,400,000",9
50,9
"1,300",9
"340,000",9
"1,500",9
"1,800",9
27.5,9
"70,000",8
135,8
58,8
"1,200,000",8
"4,000,000",8
85,8
"1,580,000",8
150,8
140,8
"700,000",8
2.3,8
7.6,8
"520,000",8
32.9,8
17.5,8
10.5,8
"1,160,000",8
32.6,8
65,8
1.4,8
95,8
122,8
"1,450,000",8
"2,600",8
21.4,8
1.3,8
"140,000",8
30.6,8
"320,000",8
220,8
23.6,8
"5,200",8
"1,750,000",8
"1,150,000",8
"1,190,000",7
"950,000",7
19.5,7
26.4,7
"1,250,000",7
"2,050,000",7
64,7
24.5,7
25.5,7
22.3,7
"285,000",7
"800,000",7
"680,000",7
"4,300,000",7
"2,200",7
"390,000",7
"165,000",7
"47,000",7
8.5,7
59,7
26.5,7
23.9,7
2.1,7
"2,080,000",7
"33,000",7
"3,500",7
77,7
"2,600,000",7
29.6,7
"280,000",7
"1,710,000",7
80,7
"530,000",7
"1,420,000",7
"105,000",7
30.9,7
"45,000",7
"230,000",7
24.1,7
"375,000",6
"5,600",6
72,6
11.5,6
92,6
42.4,6
14.7,6
"3,900,000",6
210,6
14.5,6
16.5,6
23.3,6
29.9,6
"29,000",6
"3,950,000",6
"6,500",6
61,6
125,6
41.1,6
"5,700",6
"650,000",6
30.5,6
2.2,6
"330,000",6
38.9,6
160,6
6.8,6
84,6
20.7,6
"2,100",6
"480,000",6
35.3,6
"27,000",6
130,6
"2,700",6
21.1,6
"170,000",6
"125,000",6
"1,900",6
"3,300,000",6
"3,200,000",6
"5,100",6
1.8,6
"3,850,000",6
"2,880,000",6
"3,000,000",6
30.2,6
1.6,6
115,6
33.6,6
25.7,6
"48,000",6
"3,100,000",5
14.4,5
"6,400",5
"17,000",5
15.5,5
28.9,5
"456,000",5
83,5
"95,000",5
75,5
35.6,5
"68,000",5
24.3,5
"89,000",5
"23,000",5
"395,000",5
41.8,5
"290,000",5
105,5
20.5,5
"2,310,000",5
19.6,5
"485,000",5
1.1,5
73,5
