Data Item,Value Counts
"HORTICULTURE TOTALS - SALES, MEASURED IN $",111
HORTICULTURE TOTALS - OPERATIONS WITH SALES,111
"CROP TOTALS - SALES, MEASURED IN $",110
POTATOES - ACRES HARVESTED,95
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",88
"CORN, GRAIN - ACRES HARVESTED",88
SOYBEANS - ACRES HARVESTED,85
"SOYBEANS - PRODUCTION, MEASURED IN BU",85
"POTATOES - PRODUCTION, MEASURED IN CWT",80
"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",79
"HAY, ALFALFA - ACRES HARVESTED",79
"WHEAT - PRODUCTION, MEASURED IN BU",77
WHEAT - ACRES HARVESTED,77
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",77
"CORN, SILAGE - ACRES HARVESTED",77
OATS - ACRES HARVESTED,76
"OATS - PRODUCTION, MEASURED IN BU",76
"HAY - PRODUCTION, MEASURED IN TONS",69
HAY - ACRES HARVESTED,69
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",67
"WHEAT, WINTER - ACRES HARVESTED",67
BARLEY - ACRES HARVESTED,65
"BARLEY - PRODUCTION, MEASURED IN BU",65
"SWEET CORN, PROCESSING - ACRES HARVESTED",61
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",54
POTATOES - OPERATIONS WITH AREA HARVESTED,53
"BEANS, SNAP, PROCESSING - ACRES HARVESTED",53
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",52
"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",52
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, WINTER - ACRES PLANTED",50
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
OATS - ACRES PLANTED,50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"BARLEY - YIELD, MEASURED IN BU / ACRE",50
"WHEAT - PRODUCTION, MEASURED IN $",50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
"BARLEY - PRODUCTION, MEASURED IN $",50
"POTATOES - YIELD, MEASURED IN CWT / ACRE",50
"POTATOES, FALL - ACRES HARVESTED",50
"POTATOES, FALL - PRODUCTION, MEASURED IN CWT",50
"POTATOES - PRODUCTION, MEASURED IN $",50
"OATS - PRODUCTION, MEASURED IN $",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
CORN - ACRES PLANTED,50
"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
"POTATOES, FALL - ACRES PLANTED",50
"OATS - YIELD, MEASURED IN BU / ACRE",50
BARLEY - ACRES PLANTED,50
"POTATOES, FALL - PRODUCTION, MEASURED IN $",50
WHEAT - ACRES PLANTED,50
"HAY - PRODUCTION, MEASURED IN $",50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
"SOYBEANS - PRODUCTION, MEASURED IN $",50
POTATOES - ACRES PLANTED,50
"POTATOES, FALL - YIELD, MEASURED IN CWT / ACRE",50
SOYBEANS - ACRES PLANTED,50
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN $",49
"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",49
"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",49
"TOBACCO - PRODUCTION, MEASURED IN LB",48
TOBACCO - ACRES HARVESTED,48
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",46
"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",46
"TOBACCO, CIGAR BINDER SOUTHERN WISCONSIN (TYPE 54) - PRODUCTION, MEASURED IN $",45
"TOBACCO, CIGAR BINDER SOUTHERN WISCONSIN (TYPE 54) - PRODUCTION, MEASURED IN LB",45
"TOBACCO, CIGAR BINDER NORTHERN WISCONSIN (TYPE 55) - PRODUCTION, MEASURED IN $",45
"TOBACCO, CIGAR BINDER SOUTHERN WISCONSIN (TYPE 54) - YIELD, MEASURED IN LB / ACRE",45
"TOBACCO, CIGAR BINDER NORTHERN WISCONSIN (TYPE 55) - YIELD, MEASURED IN LB / ACRE",45
"TOBACCO - YIELD, MEASURED IN LB / ACRE",45
"TOBACCO - PRODUCTION, MEASURED IN $",45
"TOBACCO, CIGAR BINDER SOUTHERN WISCONSIN (TYPE 54) - ACRES HARVESTED",45
"TOBACCO, CIGAR BINDER NORTHERN WISCONSIN (TYPE 55) - ACRES HARVESTED",45
