Value,Value Counts
 (D),1899
2,356
1,353
3,241
4,172
5,149
6,136
9,106
7,105
10,98
8,92
11,85
14,79
12,73
16,70
18,67
13,61
15,60
20,59
19,54
17,52
23,50
31,48
22,48
40,47
21,46
26,43
24,43
25,43
35,42
32,42
29,42
30,41
43,39
34,39
 (Z),38
37,38
27,37
41,37
28,35
50,35
42,35
33,33
38,31
44,30
45,29
100,29
52,29
47,29
55,28
58,28
46,28
53,27
39,27
62,26
51,25
66,25
56,25
63,25
48,23
"1,800",22
108,21
61,21
57,21
54,21
60,21
76,20
49,19
65,18
72,18
64,18
132,17
36,17
"4,000",17
83,17
"53,000",17
"50,000",17
"10,000",17
59,17
68,17
93,16
91,16
"400,000",16
73,16
103,15
95,15
77,15
"7,000",15
"65,000",15
"8,000",15
111,14
"4,600",14
69,14
"12,000",14
"30,000",14
"54,000",14
71,14
"600,000",14
"80,000",14
86,13
"25,000",13
"11,000",13
"85,000",13
"35,000",13
80,13
110,13
104,13
67,13
"61,000",13
"2,100",13
98,13
97,13
114,12
107,12
"3,800",12
"300,000",12
89,12
"68,000",12
"100,000",12
"55,000",12
"22,000",12
"20,000",12
"6,000",12
78,12
139,11
176,11
70,11
92,11
"70,000",11
79,11
"3,000,000",11
127,11
"5,000",11
94,11
"45,000",11
101,11
"23,000",11
"3,000",11
146,10
118,10
85,10
102,10
81,10
"28,000",10
"1,000",10
"9,000",10
82,10
"17,000",10
99,10
88,10
133,10
74,10
"2,000",10
"1,900",10
"57,000",10
87,10
116,9
"40,000",9
"52,000",9
"1,600,000",9
"4,200",9
"3,100,000",9
"130,000",9
106,9
113,9
150,9
137,9
96,9
"60,000",9
"16,000",9
"62,000",9
2.2,9
119,9
115,9
"75,000",9
201,9
"4,800",9
138,9
"58,000",9
177,9
"66,000",9
122,8
143,8
1.3,8
"59,000",8
"56,000",8
"13,000",8
1.9,8
350,8
"3,900",8
"47,000",8
126,8
"21,000",8
"29,000",8
"140,000",8
"31,000",8
"44,000",8
141,8
152,8
256,8
"4,700",8
1.6,8
2.8,8
"63,000",8
"15,000",8
280,8
325,8
216,8
140,8
1.5,8
182,8
"160,000",8
"48,000",7
153,7
"185,000",7
"150,000",7
1.8,7
"430,000",7
"500,000",7
155,7
300,7
128,7
147,7
195,7
"2,800,000",7
210,7
161,7
"7,700",7
2.4,7
"24,000",7
266,7
"1,550,000",7
274,7
"200,000",7
"63,500",7
"1,500,000",7
"4,500",7
"6,200",7
"86,000",7
"3,600,000",7
1.4,7
