Program,Year,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2009,AQUATIC PLANTS,AQUATIC PLANTS - OPERATIONS WITH AREA IN PRODUCTION,TOTAL,NOT SPECIFIED,23
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,487,406"
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS - SALES, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,"573,614"
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, IN THE OPEN - ACRES IN PRODUCTION",TOTAL,NOT SPECIFIED,20
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",TOTAL,NOT SPECIFIED,9
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, RETAIL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"917,406"
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION",TOTAL,NOT SPECIFIED,17
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, UNDER PROTECTION - SQ FT IN PRODUCTION",TOTAL,NOT SPECIFIED,"60,565"
CENSUS,2009,AQUATIC PLANTS,"AQUATIC PLANTS, WHOLESALE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"570,000"
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"711,522"
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS - SALES, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,"154,123"
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, RETAIL - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,6
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, RETAIL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
