Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"2,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"30,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"15,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,695,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"19,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"400,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"8,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,095,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"27,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,400"
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - ACRES PLANTED",TOTAL,NOT SPECIFIED,"4,600"
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,209
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,277,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"15,650"
SURVEY,2009,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.56
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",TOTAL,NOT SPECIFIED,660
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,700,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,184,000"
