Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"37,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,140,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"30,800"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"83,850,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"390,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"140,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"15,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"44,038,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"595,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, PROCESSING, CANNED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"210,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, PROCESSING, JUICE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"175,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, PROCESSING, OTHER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"10,000,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"127,888,000"
SURVEY,2009,YEAR,STATE,MICHIGAN,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"985,000,000"
