Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"1,800"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"18,500,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"10,300"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,459,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"13,000,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"400,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"100,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"330,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,000,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,789,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"18,000,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"3,000,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,920,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE",TOTAL,NOT SPECIFIED,"24,800"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",TOTAL,NOT SPECIFIED,"25,500"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,599,401,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"446,760,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"50,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"800,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"260,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,COTTON - ACRES PLANTED,TOTAL,NOT SPECIFIED,"272,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,"502,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,927
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,725,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"192,500"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"260,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,"272,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"140,962,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,"502,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,927
SURVEY,2009,YEAR,STATE,MISSOURI,0,CROP TOTALS,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,841,939,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,812,352,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"13,388,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",TOTAL,NOT SPECIFIED,"13,536,000"
SURVEY,2009,YEAR,STATE,MISSOURI,0,GRAPES,GRAPES - ACRES BEARING,TOTAL,NOT SPECIFIED,"1,600"
SURVEY,2009,YEAR,STATE,MISSOURI,0,GRAPES,"GRAPES - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"4,400"
