Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,130,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BARLEY,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,210,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"304,535,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"79,100,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,70
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, BLACK - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"43,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, BLACK - ACRES PLANTED",TOTAL,NOT SPECIFIED,"46,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, BLACK - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"610,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, BLACK - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"1,420"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,200"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES PLANTED",TOTAL,NOT SPECIFIED,"1,500"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"19,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"1,580"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, GREAT NORTHERN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,200"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, GREAT NORTHERN - ACRES PLANTED",TOTAL,NOT SPECIFIED,"8,000"
SURVEY,2009,YEAR,STATE,NORTH DAKOTA,0,BEANS,"BEANS, DRY EDIBLE, GREAT NORTHERN - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"113,000"
