Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"5,600"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"104,000,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"18,600"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,199,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"79,700,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,000,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,000,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,039,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"19,300,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, PROCESSING, JUICE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D)
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"34,238,000"
SURVEY,2009,YEAR,STATE,OHIO,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"99,000,000"
SURVEY,2009,YEAR,STATE,OHIO,0,CABBAGE,"CABBAGE, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,000"
