Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"4,600"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"47,800,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"10,400"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"16,117,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"35,500,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,500,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,300,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"461,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,500,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"16,578,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"40,000,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"25,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,BARLEY,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,"45,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,101,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,475,000"
SURVEY,2009,YEAR,STATE,WISCONSIN,0,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,59
