"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","2,500",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","46,000,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","18,400",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,100,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,300,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, PROCESSING - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, PROCESSING - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, UTILIZED - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","20,496,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","APPLES","APPLES, UTILIZED - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,600,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - ACRES HARVESTED","TOTAL","NOT SPECIFIED","11,500",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - ACRES PLANTED","TOTAL","NOT SPECIFIED","12,100",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","136",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","5,943,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","43,700",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","12,000,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","11,800,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE","TOTAL","NOT SPECIFIED","28,900",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE","TOTAL","NOT SPECIFIED","29,550",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","7,247,796,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,053,200,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","174",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,900,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","12,028,476,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","11,948,281,000",""
"SURVEY","2009","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,740,000",""
