,YEAR,GSP,GDD,GSTmin,GSTmax,frost,summer,HWI,CWI,dry,wet,PRCP95P
1941,1941,3.869512195121951,1555.1000000000006,13.099390243902437,25.865243902439026,2,94,21.0,12.0,13,5,4.0
1942,1942,3.3798780487804874,1327.1000000000013,11.957926829268292,24.226219512195115,6,81,11.0,26.0,15,3,5.0
1943,1943,3.3963414634146347,1303.8,11.908536585365857,23.99146341463415,7,80,12.0,17.0,10,4,2.0
1944,1944,3.342331288343558,1467.1000000000008,12.899390243902433,24.992073170731718,4,91,17.0,14.0,15,6,2.0
1945,1945,3.471951219512195,1129.999999999999,10.64329268292683,23.137195121951223,6,66,10.0,27.0,19,3,5.0
1946,1946,3.8713414634146335,1223.5,11.196951219512192,23.723780487804888,5,76,7.0,25.0,9,5,6.0
1947,1947,2.8467213114754104,1529.4500000000012,12.698170731707311,25.95365853658536,3,92,41.0,23.0,18,4,3.0
1948,1948,2.090650406504066,1427.0,11.788414634146344,25.614024390243905,6,94,23.0,12.0,15,5,0.0
1949,1949,2.6767276422764232,1500.5749999999994,12.493902439024392,25.805792682926832,2,93,26.0,17.0,15,3,2.0
1950,1950,2.984654471544715,1192.3250000000003,10.621036585365848,23.91951219512195,3,69,6.0,30.0,13,3,0.0
1951,1951,3.531199186991869,1180.0750000000003,11.637195121951212,22.753963414634143,4,53,2.0,11.0,13,4,1.0
1952,1952,2.367987804878048,1219.8249999999996,11.015548780487803,23.860365853658536,13,82,11.0,26.0,29,4,1.0
1953,1953,2.326219512195122,1473.025,12.176829268292689,25.786890243902445,2,99,24.0,15.0,23,3,1.0
1954,1954,5.602743902439024,1370.5999999999995,12.609451219512197,24.105182926829265,4,86,6.0,9.0,13,4,5.0
1955,1955,2.307621951219512,1582.5750000000005,12.811585365853661,26.488109756097558,4,107,34.0,12.0,23,5,2.0
1956,1956,2.7774390243902434,1433.875,12.009451219512199,25.476829268292693,5,93,28.0,15.0,27,3,2.0
1957,1957,2.8939024390243895,1293.3000000000006,12.142682926829274,23.629268292682923,5,74,10.0,7.0,15,4,0.0
1958,1958,1.9003048780487803,1341.1249999999998,11.626219512195124,24.728963414634155,3,79,17.0,17.0,18,5,2.0
1959,1959,3.5646341463414615,1379.35,12.519512195121948,24.30182926829268,6,89,13.0,11.0,14,8,3.0
1960,1960,2.5250000000000004,1384.5999999999995,12.071036585365855,24.814329268292685,2,84,14.0,15.0,21,4,1.0
1961,1961,2.7079268292682936,1337.7999999999995,11.577134146341466,24.737499999999997,3,87,18.689655172413794,13.620689655172415,12,4,1.0
1962,1962,4.29420731707317,1330.7750000000003,12.316768292682926,23.91219512195122,0,76,9.862068965517242,15.172413793103448,13,3,3.0
1963,1963,3.36981707317073,1517.3000000000002,12.865243902439019,25.63841463414635,2,97,21.93103448275862,11.0,20,4,4.0
1964,1964,3.283536585365853,1357.1499999999994,11.592682926829271,24.95792682926829,6,83,26.82758620689655,18.586206896551722,15,4,3.0
1965,1965,4.189634146341462,1302.5000000000005,11.978048780487805,23.90609756097561,2,77,10.862068965517242,16.586206896551722,13,8,3.0
1966,1966,3.3164634146341463,1311.175,11.91768292682927,24.072256097560974,5,79,10.827586206896552,13.96551724137931,15,6,4.0
1967,1967,2.846951219512195,1122.1499999999999,10.249695121951222,23.43506097560975,4,74,7.0,38.37931034482759,17,4,3.0
1968,1968,3.7963414634146337,1244.1000000000001,11.584756097560977,23.587195121951222,3,71,16.20689655172414,19.862068965517242,11,5,2.0
1969,1969,4.227439024390242,1249.5499999999993,11.488109756097561,23.750304878048777,3,80,9.172413793103448,14.413793103448276,12,4,6.0
1970,1970,3.7609756097560973,1421.7000000000007,12.466463414634143,24.87134146341463,5,91,20.413793103448278,15.137931034482758,13,5,2.0
1971,1971,2.9966463414634146,1388.749999999999,11.80823170731708,25.12774390243902,1,96,20.517241379310345,20.862068965517242,16,3,2.0
1972,1972,3.64542682926829,1319.1750000000004,11.849695121951212,24.23780487804877,6,77,22.689655172413794,26.448275862068964,12,5,2.0
1973,1973,3.242073170731707,1503.0749999999996,13.164939024390236,25.16524390243902,0,89,12.758620689655173,12.862068965517242,11,4,3.0
1974,1974,2.4560975609756093,1277.4249999999997,11.281402439024388,24.296951219512195,6,82,17.379310344827587,26.96551724137931,17,4,0.0
1975,1975,2.4905487804878055,1528.2750000000003,12.809756097560982,25.82774390243903,4,93,28.82758620689655,12.413793103448276,22,3,2.0
1976,1976,1.8417682926829266,1399.7250000000001,10.990853658536587,26.078963414634156,10,103,25.413793103448278,22.517241379310345,14,3,0.0
1977,1977,3.1371951219512186,1486.9750000000008,12.627439024390238,25.506402439024384,2,94,22.655172413793103,8.758620689655173,10,4,2.0
1978,1978,3.5460365853658535,1483.174999999999,12.339634146341464,25.747865853658524,6,99,22.75862068965517,10.96551724137931,15,7,3.0
1979,1979,3.7350609756097537,1335.625,11.278353658536584,25.009756097560967,8,88,11.344827586206897,21.482758620689655,15,8,3.0
1980,1980,5.05,1463.0749999999994,12.107621951219512,25.734756097560965,5,101,20.0,12.344827586206897,12,6,6.0
1981,1981,4.625609756097561,1303.6000000000001,11.544207317073171,24.35335365853658,5,83,4.0,17.482758620689655,16,8,4.0
1982,1982,3.738719512195122,1284.8,11.97926829268292,23.689024390243894,3,71,6.517241379310345,13.448275862068966,16,9,2.0
1983,1983,4.206707317073168,1484.7749999999999,12.286280487804873,25.820731707317066,8,96,35.06896551724138,16.620689655172413,15,8,4.0
1984,1984,3.7978658536585375,1463.0,12.416158536585362,25.42530487804878,5,93,15.827586206896552,10.655172413793103,12,12,3.0
1985,1985,3.1716463414634144,1332.575,11.773170731707314,24.477743902439016,5,83,17.137931034482758,15.862068965517242,10,5,1.0
1986,1986,3.9731707317073166,1304.6000000000006,11.826219512195118,24.08353658536584,3,80,11.482758620689655,14.413793103448276,13,7,2.0
1987,1987,2.5131097560975597,1536.25,13.059451219512194,25.675304878048802,7,99,27.79310344827586,10.89655172413793,24,5,0.0
1988,1988,2.221341463414635,1656.6750000000004,12.823475609756102,27.379878048780483,9,115,42.275862068965516,13.862068965517242,17,5,3.0
1989,1989,1.513719512195122,1317.2249999999992,10.93109756097561,25.1326219512195,11,103,13.689655172413794,21.862068965517242,14,3,0.0
1990,1990,4.70670731707317,1303.7250000000001,12.0234756097561,23.87560975609756,4,80,7.655172413793103,11.448275862068966,17,5,2.0
1991,1991,3.640243902439024,1405.7749999999992,12.537804878048787,24.60579268292683,8,87,12.0,14.0,13,5,2.0
1992,1992,3.4749999999999983,1014.7750000000004,9.771951219512202,22.603353658536573,6,54,5.0,40.0,20,10,2.0
1993,1993,4.467987804878048,1049.55,10.677743902439024,22.121646341463407,6,54,2.0,21.0,10,10,2.0
1994,1994,3.875304878048778,1361.049999999999,12.223475609756095,24.374695121951216,1,80,6.0,10.0,11,10,2.0
1995,1995,3.78262195121951,1374.8500000000008,12.126524390243905,24.63993902439025,6,92,15.0,10.0,13,6,5.0
1996,1996,2.747560975609756,1175.4999999999995,10.853963414634144,23.48140243902439,6,84,8.0,17.0,11,8,1.0
1997,1997,3.1146341463414626,1301.625,11.425609756097556,24.44786585365853,6,85,6.0,15.0,13,11,1.0
1998,1998,3.473475609756097,1463.8750000000005,12.632621951219503,25.21951219512195,2,103,15.0,5.0,15,6,0.0
1999,1999,4.386280487804876,1305.2250000000001,11.706097560975605,24.21128048780487,5,73,5.0,9.0,13,6,5.0
2000,2000,3.3201219512195115,1257.5249999999996,11.292682926829272,24.04298780487805,6,81,9.0,18.0,16,5,2.0
2001,2001,2.1652439024390246,1257.2749999999994,11.351219512195126,23.981402439024393,6,74,7.0,12.0,19,8,0.0
2002,2002,3.691463414634145,1355.6000000000006,11.916463414634148,24.61524390243901,8,90,13.0,17.0,12,4,4.0
2003,2003,2.2432926829268274,1282.3,10.888414634146347,24.74939024390245,7,91,10.0,14.0,22,7,0.0
2004,2004,4.906097560975608,1135.3999999999996,10.675304878048783,23.17103658536586,7,64,3.0,25.0,13,5,7.0
2005,2005,4.235060975609756,1477.4250000000009,12.67896341463415,25.338414634146343,2,98,15.0,6.0,12,7,3.0
2006,2006,2.494512195121951,1302.825,11.810975609756103,24.077134146341457,5,94,11.0,9.0,17,5,1.0
2007,2007,4.571036585365852,1494.3999999999994,12.71676829268293,25.5076219512195,1,102,13.0,10.0,10,7,2.0
2008,2008,4.137195121951218,1292.4250000000006,11.469207317073167,24.292073170731708,1,89,2.0,8.0,11,7,3.0
2009,2009,2.768902439024388,1046.675,10.460365853658535,22.303963414634136,8,59,2.0,23.0,29,7,1.0
2010,2010,2.8957317073170725,1463.600000000001,12.467682926829264,25.38109756097561,4,98,11.0,4.0,24,6,1.0
2011,2011,2.235670731707317,1428.1250000000005,12.427743902439024,24.988414634146366,2,92,20.0,11.0,14,4,0.0
2012,2012,1.2594512195121956,1457.9999999999993,11.412804878048782,26.367682926829264,9,107,27.0,15.0,27,3,0.0
2013,2013,3.5698170731707304,1394.8500000000008,12.293902439024393,24.716463414634145,4,82,11.0,11.0,21,15,0.0
2014,2014,3.5091463414634125,1235.6750000000004,11.458841463414647,23.610365853658532,6,82,2.0,19.0,14,7,0.0
2015,2015,3.6499999999999995,1381.6249999999993,12.313414634146335,24.53567073170731,2,89,8.0,5.0,21,5,1.0
