,YEAR,GSP,GDD,GSTmax,GSTmin,frost,summer,HWI,CWI,dry,wet,PRCP95P
0,1941,3.8695121951219513,1555.1000000000004,25.865243902439033,13.099390243902441,2,94,11,7,13,5,4
1,1942,3.3798780487804874,1327.1000000000001,24.226219512195126,11.957926829268295,6,81,7,12,15,3,5
2,1943,3.3963414634146343,1303.8000000000002,23.991463414634147,11.908536585365853,7,80,6,7,10,4,2
3,1944,3.342331288343558,1467.1000000000004,24.99207317073171,12.899390243902442,4,91,12,13,15,6,2
4,1945,3.4719512195121958,1130.0000000000002,23.13719512195122,10.643292682926829,6,66,5,13,19,3,5
5,1946,3.871341463414634,1223.5000000000002,23.723780487804884,11.196951219512195,5,76,4,12,9,5,6
6,1947,2.8467213114754104,1529.4500000000003,25.953658536585365,12.698170731707316,3,92,8,15,18,4,3
7,1948,2.090650406504065,1427.0000000000002,25.6140243902439,11.788414634146342,6,94,14,17,15,5,0
8,1949,2.676727642276423,1500.5750000000003,25.80579268292683,12.49390243902439,2,93,11,10,15,3,2
9,1950,2.9846544715447156,1192.3250000000003,23.919512195121953,10.621036585365854,3,69,5,11,13,3,0
10,1951,3.53119918699187,1180.0750000000003,22.753963414634146,11.637195121951219,4,53,4,10,13,4,1
11,1952,2.3679878048780485,1219.8250000000003,23.86036585365854,11.015548780487807,13,82,7,9,29,4,1
12,1953,2.3262195121951224,1473.025,25.786890243902445,12.176829268292684,2,99,11,7,23,3,2
13,1954,5.602743902439024,1370.6000000000001,24.10518292682927,12.609451219512197,4,86,6,13,13,4,5
14,1955,2.3076219512195126,1582.575,26.48810975609756,12.811585365853658,4,107,20,16,23,5,2
15,1956,2.7774390243902443,1433.8750000000002,25.476829268292686,12.009451219512195,5,93,8,7,27,3,2
16,1957,2.8939024390243904,1293.3000000000002,23.629268292682926,12.142682926829268,5,74,4,6,15,4,0
17,1958,1.9003048780487803,1341.125,24.728963414634148,11.626219512195124,3,79,7,14,18,5,2
18,1959,3.5646341463414637,1379.35,24.301829268292682,12.51951219512195,6,89,12,12,14,8,3
19,1960,2.5250000000000004,1384.6,24.814329268292685,12.071036585365855,2,84,8,12,21,4,1
20,1961,2.7079268292682928,1337.8000000000002,24.737499999999997,11.577134146341464,3,87,7,17,12,4,1
21,1962,4.2942073170731705,1330.775,23.912195121951218,12.316768292682926,0,76,8,8,13,3,3
22,1963,3.3698170731707315,1517.3000000000002,25.63841463414634,12.865243902439024,2,97,10,12,20,4,4
23,1964,3.283536585365854,1357.15,24.957926829268295,11.59268292682927,6,83,12,12,15,4,3
24,1965,4.189634146341463,1302.5,23.906097560975613,11.978048780487805,2,77,11,9,13,8,3
25,1966,3.3164634146341467,1311.1750000000002,24.072256097560977,11.91768292682927,5,79,8,7,15,6,4
26,1967,2.846951219512195,1122.15,23.43506097560976,10.249695121951222,4,74,5,10,17,4,4
27,1968,3.796341463414634,1244.1000000000001,23.587195121951222,11.584756097560977,3,71,7,9,11,5,3
28,1969,4.227439024390244,1249.5500000000002,23.75030487804878,11.488109756097563,3,80,7,13,12,4,6
29,1970,3.7609756097560973,1421.7000000000003,24.871341463414637,12.466463414634147,5,91,6,9,13,5,3
30,1971,2.996646341463415,1388.75,25.127743902439022,11.808231707317074,1,96,7,11,16,3,2
31,1972,3.6454268292682936,1319.1750000000002,24.23780487804878,11.84969512195122,6,77,13,12,12,5,2
32,1973,3.2420731707317074,1503.075,25.165243902439027,13.164939024390245,0,89,6,8,11,4,3
33,1974,2.4560975609756097,1277.4250000000002,24.296951219512195,11.28140243902439,6,82,6,14,17,4,0
34,1975,2.4905487804878046,1528.2750000000003,25.827743902439025,12.809756097560976,4,93,9,11,22,3,2
35,1976,1.8417682926829269,1399.7250000000004,26.07896341463415,10.990853658536585,10,103,10,10,14,3,0
36,1977,3.1371951219512195,1486.9750000000004,25.5064024390244,12.627439024390245,2,94,12,5,10,4,2
37,1978,3.546036585365854,1483.1750000000002,25.747865853658535,12.339634146341465,6,99,8,11,15,7,3
38,1979,3.735060975609756,1335.6250000000002,25.009756097560977,11.278353658536586,8,88,5,9,15,8,3
39,1980,5.050000000000001,1463.0749999999998,25.734756097560975,12.107621951219512,5,101,9,7,12,6,6
40,1981,4.62560975609756,1303.6000000000004,24.35335365853659,11.544207317073171,5,83,4,11,16,8,4
41,1982,3.738719512195122,1284.8000000000004,23.6890243902439,11.97926829268293,3,71,8,16,16,9,2
42,1983,4.206707317073171,1484.775,25.820731707317076,12.286280487804879,8,96,8,16,15,8,4
43,1984,3.7978658536585375,1463.0000000000002,25.42530487804878,12.416158536585366,5,93,6,8,12,12,3
44,1985,3.1716463414634153,1332.5750000000003,24.477743902439027,11.773170731707317,5,83,5,10,10,5,1
45,1986,3.9731707317073166,1304.6000000000001,24.083536585365852,11.826219512195122,3,80,4,7,13,7,3
46,1987,2.513109756097561,1536.2500000000002,25.675304878048784,13.059451219512194,7,99,12,7,24,5,0
47,1988,2.2213414634146345,1656.6750000000002,27.37987804878049,12.823475609756098,9,115,12,6,17,5,3
48,1989,1.513719512195122,1317.2250000000004,25.132621951219512,10.931097560975608,11,103,13,10,14,3,0
49,1990,4.706707317073171,1303.7250000000004,23.87560975609756,12.023475609756098,4,80,6,14,17,5,2
50,1991,3.6402439024390243,1405.775,24.605792682926833,12.53780487804878,8,87,7,8,13,5,2
51,1992,3.4750000000000005,1014.7750000000001,22.603353658536584,9.771951219512196,6,54,5,17,20,10,2
52,1993,4.467987804878049,1049.5500000000002,22.121646341463414,10.677743902439024,6,54,6,12,10,10,2
53,1994,3.875304878048781,1361.0500000000002,24.37469512195122,12.223475609756099,1,80,8,8,11,10,2
54,1995,3.7826219512195123,1374.8500000000004,24.639939024390248,12.126524390243903,6,92,8,12,13,6,5
55,1996,2.747560975609756,1175.5000000000002,23.48140243902439,10.853963414634148,6,84,8,15,11,8,1
56,1997,3.114634146341464,1301.6250000000002,24.447865853658538,11.425609756097563,6,85,7,15,13,11,1
57,1998,3.473475609756098,1463.8750000000002,25.21951219512195,12.632621951219514,2,103,13,11,15,6,0
58,1999,4.3862804878048784,1305.2250000000001,24.21128048780488,11.706097560975609,5,73,5,11,13,6,5
59,2000,3.3201219512195124,1257.5250000000003,24.04298780487805,11.292682926829269,6,81,5,10,16,5,2
60,2001,2.1652439024390246,1257.275,23.981402439024393,11.351219512195122,6,74,7,14,19,8,0
61,2002,3.6914634146341467,1355.6000000000004,24.615243902439026,11.916463414634148,8,90,14,13,12,4,4
62,2003,2.2432926829268296,1282.3000000000002,24.749390243902436,10.888414634146342,7,91,14,16,22,7,0
63,2004,4.906097560975609,1135.4000000000003,23.171036585365854,10.675304878048783,7,64,4,16,13,5,7
64,2005,4.235060975609757,1477.4250000000002,25.338414634146343,12.678963414634145,2,98,5,8,12,7,3
65,2006,2.4945121951219518,1302.825,24.077134146341468,11.810975609756097,5,94,5,11,17,5,1
66,2007,4.571036585365854,1494.4,25.507621951219512,12.716768292682929,1,102,6,12,10,7,2
67,2008,4.137195121951219,1292.4250000000002,24.29207317073171,11.46920731707317,1,89,4,10,11,7,3
68,2009,2.7689024390243904,1046.6750000000002,22.303963414634147,10.460365853658537,8,59,3,15,29,7,1
69,2010,2.895731707317073,1463.6000000000004,25.38109756097561,12.46768292682927,4,98,9,12,24,6,1
70,2011,2.2356707317073172,1428.125,24.988414634146345,12.427743902439024,2,92,9,10,14,4,0
71,2012,1.2594512195121952,1458.0000000000005,26.367682926829268,11.41280487804878,9,107,11,11,27,3,0
72,2013,3.569817073170732,1394.85,24.71646341463415,12.29390243902439,4,82,7,10,21,15,0
73,2014,3.5091463414634148,1235.6750000000002,23.61036585365854,11.458841463414636,6,82,6,13,14,7,0
74,2015,3.6500000000000004,1381.625,24.53567073170732,12.313414634146342,2,89,3,11,21,5,1
75,2016,5.489939024390243,1479.275,25.052743902439026,12.98719512195122,3,92,5,10,8,10,5
76,2017,3.057926829268293,1417.6750000000002,25.004573170731707,12.284146341463414,0,84,10,12,24,9,1
77,2018,5.732926829268293,1477.3750000000005,24.733231707317074,13.283536585365853,5,102,8,4,12,5,5
78,2019,3.7176829268292684,1355.55,24.138719512195124,12.392378048780488,5,88,5,9,9,5,2
79,2020,3.1518292682926834,1400.725,24.821341463414633,12.260670731707316,5,99,11,12,18,6,2
