type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,AL,1990,220.35,233.14,244.15,96.17,141.42,77.50,97.57,53.80,49.22,75.89,81.49,162.77
prcp,AL,1991,174.45,131.11,172.07,176.05,227.03,122.29,97.90,96.73,78.34,23.56,124.23,143.15
prcp,AL,1992,160.33,147.35,101.31,74.89,49.95,144.15,142.68,148.53,79.53,70.36,229.76,136.33
prcp,AL,1993,160.01,93.94,163.25,76.71,93.66,84.02,85.70,122.84,114.09,88.10,88.25,113.97
prcp,AL,1994,143.51,122.26,182.50,108.23,82.96,179.15,220.41,81.44,106.57,129.37,93.29,94.91
prcp,AL,1995,122.17,138.72,139.33,130.98,89.18,91.80,118.79,133.65,86.81,256.45,159.22,123.05
prcp,AL,1996,194.10,93.85,238.20,131.97,64.85,89.79,179.51,115.78,146.21,52.40,90.39,103.70
prcp,AL,1997,165.63,156.13,102.94,158.45,127.69,204.21,162.91,61.29,78.05,144.77,160.40,115.13
prcp,AL,1998,210.66,187.16,141.63,129.14,52.19,80.91,143.68,76.22,218.33,38.12,87.79,105.92
prcp,AL,1999,196.55,65.99,143.16,69.05,116.64,215.65,126.21,53.97,54.05,81.25,67.28,85.05
prcp,AL,2000,124.21,50.17,134.70,124.63,35.39,90.21,59.02,67.00,94.67,16.20,208.60,109.45
prcp,AL,2001,125.53,100.71,251.79,95.60,84.53,181.60,103.49,155.54,119.46,91.01,100.83,111.63
prcp,AL,2002,136.46,72.89,140.89,47.40,104.37,91.31,137.06,88.17,182.13,150.17,129.03,166.27
prcp,AL,2003,64.41,163.92,112.51,147.38,229.64,192.13,216.65,158.81,99.96,39.45,116.35,87.07
prcp,AL,2004,89.65,184.57,62.23,65.36,100.46,179.59,119.05,115.17,183.75,104.22,193.63,110.16
prcp,AL,2005,72.65,117.85,130.17,204.81,77.19,158.36,226.05,155.69,97.45,12.51,93.63,99.60
prcp,AL,2006,124.93,119.79,69.63,93.01,113.75,44.60,79.32,101.05,91.80,135.09,119.77,99.00
prcp,AL,2007,97.19,69.89,37.20,105.80,19.84,73.30,115.42,69.61,95.19,98.95,79.72,108.11
prcp,AL,2008,111.77,165.07,104.39,120.71,114.85,54.36,113.99,244.35,46.25,63.57,78.24,159.01
prcp,AL,2009,109.96,90.61,233.95,109.96,206.78,70.89,144.75,130.50,185.42,159.49,109.25,254.26
prcp,AL,2010,162.91,104.26,132.09,65.69,171.12,89.93,92.61,123.97,50.91,68.90,124.43,64.47
prcp,AL,2011,103.11,89.82,205.93,120.38,39.99,88.42,145.63,54.95,199.83,22.93,111.64,125.98
prcp,AL,2012,143.61,115.31,124.42,47.97,109.29,116.29,139.96,139.55,146.42,66.31,38.95,171.87
prcp,AL,2013,164.29,219.23,93.89,127.97,99.35,148.58,216.56,129.73,68.45,32.47,84.14,185.12
prcp,AL,2014,68.84,134.29,131.67,240.89,91.82,132.56,90.77,85.05,53.28,110.29,75.69,150.80
prcp,AL,2015,100.51,96.05,104.23,165.49,96.51,76.61,119.09,110.14,65.97,67.53,160.76,275.71
prcp,AL,2016,102.99,147.67,137.70,139.48,50.11,91.32,120.57,117.19,51.17,2.45,62.65,118.16
prcp,AL,2017,223.27,94.95,106.18,109.85,171.05,264.47,138.65,154.05,78.50,155.50,28.53,92.87
prcp,AL,2018,55.46,187.23,97.56,141.08,168.15,97.87,127.05,134.94,170.25,63.12,163.71,243.09
prcp,AL,2019,150.43,163.81,82.54,163.25,91.67,127.57,97.35,137.23,4.30,198.05,93.45,152.44
prcp,AL,2020,175.58,267.83,164.39,178.62,100.99,147.20,124.39,138.52,172.56,132.77,74.52,92.29
prcp,AL,2021,90.40,108.53,,,,,,,,,,
